index,County,Precinct,Registered Voters,Keith Hancock (I) (Rep)_Election Day Votes,Keith Hancock (I) (Rep)_Advanced Voting Votes,Keith Hancock (I) (Rep)_Absentee by Mail Votes,Keith Hancock (I) (Rep)_Provisional Votes,Keith Hancock (I) (Rep)_Choice Total,Total,
0,Carroll,Kansas,1165,447,271,94,0,812,812,
1,Carroll,Bowdon,3289,694,763,289,1,1747,1747,
2,Carroll,Sandhill,4459,580,1573,339,3,2495,2495,
3,Carroll,Center Point,1775,469,637,160,1,1267,1267,
4,Carroll,Mt Zion,2641,662,725,210,0,1597,1597,
5,Carroll,Burwell,1564,416,416,147,2,981,981,
6,Carroll,Clem,3695,508,1562,366,2,2438,2438,
7,Carroll,Bowdon Junction,1547,269,452,124,0,845,845,
8,Carroll,Tyus,1920,570,534,155,1,1260,1260,
9,Carroll,Fairfield,3867,913,1220,362,0,2495,2495,
10,Carroll,Hulett,2408,524,833,175,0,1532,1532,
11,Carroll,Bethany,4779,507,1331,341,1,2180,2180,
12,Carroll,V R County South,2942,332,1113,264,1,1710,1710,
13,Carroll,V R County North,5472,645,1822,431,0,2898,2898,
14,Carroll,Villa Rica City,7250,654,2006,564,0,3224,3224,
15,Carroll,Temple County,4354,704,1374,325,3,2406,2406,
16,Carroll,Temple City,3700,658,1028,254,3,1943,1943,
17,Carroll,Whitesburg,2190,561,599,164,0,1324,1324,
18,Carroll,Roopville,3200,670,1098,272,3,2043,2043,
19,Carroll,West Carrollton,4380,310,991,299,1,1601,1601,
20,Carroll,Lakeshore Rec Center,1671,131,525,152,1,809,809,
21,Carroll,Bonner,3736,293,1350,296,2,1941,1941,
22,Carroll,University of W GA,2164,217,659,166,2,1044,1044,
23,Carroll,County Admin Bldg,2620,214,955,245,1,1415,1415,
24,Carroll,Tabernacle Church,1628,142,572,216,0,930,930,
25,Carroll,Burson Center,1466,154,525,135,1,815,815,
26,Carroll,Old Camp Church,2297,399,872,224,2,1497,1497,
27,Carroll,Oak Grove,1668,310,547,126,0,983,983,
