index,County,Precinct,Registered Voters,Doug Harris (Rep)_Election Day Votes,Doug Harris (Rep)_Advanced Voting Votes,Doug Harris (Rep)_Absentee by Mail Votes,Doug Harris (Rep)_Provisional Votes,Doug Harris (Rep)_Choice Total,Steven Lee Henry (Dem)_Election Day Votes,Steven Lee Henry (Dem)_Advanced Voting Votes,Steven Lee Henry (Dem)_Absentee by Mail Votes,Steven Lee Henry (Dem)_Provisional Votes,Steven Lee Henry (Dem)_Choice Total,Total,
0,Appling,4B,866,246,319,71,0,636,5,11,5,0,21,657,
1,Appling,4D,1493,232,639,152,1,1024,17,49,34,0,100,1124,
