index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Appling,1B,1309,241,469,117,1,828,30,58,46,0,134,3,12,1,0,16,978,
1,Appling,1C,848,170,343,64,2,579,17,17,10,0,44,2,4,0,0,6,629,
2,Appling,2,2251,136,299,79,0,514,160,437,265,2,864,10,21,1,0,32,1410,
3,Appling,3A1,793,225,287,58,0,570,8,7,10,0,25,0,3,2,0,5,600,
4,Appling,3C,1566,103,593,123,0,819,50,130,101,0,281,8,9,5,0,22,1122,
5,Appling,4B,866,252,316,71,0,639,4,12,9,0,25,0,2,0,0,2,666,
6,Appling,4D,1493,236,634,150,1,1021,21,67,41,0,129,2,8,5,0,15,1165,
7,Appling,5A,1147,137,437,84,2,660,18,58,38,1,115,2,10,5,0,17,792,
8,Appling,5B,1126,186,396,91,3,676,44,59,33,0,136,6,5,2,0,13,825,
