index,County,Precinct,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
0,Appling,1B,1309,244,496,133,0,873,873,
1,Appling,1C,848,175,340,71,2,588,588,
2,Appling,2,2251,212,490,177,1,880,880,
3,Appling,3A1,793,218,281,57,0,556,556,
4,Appling,3C,1566,136,642,167,0,945,945,
5,Appling,4B,866,243,316,72,0,631,631,
6,Appling,4D,1493,244,640,170,1,1055,1055,
7,Appling,5A,1147,141,456,109,3,709,709,
8,Appling,5B,1126,208,409,113,3,733,733,
