index,County,Precinct,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,
0,Appling,1B,1309,246,495,135,0,876,876,
1,Appling,1C,848,174,347,71,2,594,594,
2,Appling,2,2251,221,501,179,2,903,903,
3,Appling,3A1,793,223,283,56,0,562,562,
4,Appling,3C,1566,115,545,127,0,787,787,
5,Appling,5A,1147,147,463,111,3,724,724,
6,Appling,5B,1126,210,419,114,3,746,746,
