index,County,Precinct,Registered Voters,"Merlin Jerry Tomberlin, Jr. (I) (Rep)_Election Day Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Advanced Voting Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Absentee by Mail Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Provisional Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Choice Total",Total,
0,Appling,1B,1309,244,509,138,1,892,892,
1,Appling,1C,848,177,345,72,2,596,596,
2,Appling,2,2251,233,548,216,2,999,999,
3,Appling,3A1,793,222,278,57,0,557,557,
4,Appling,3C,1566,138,659,172,0,969,969,
5,Appling,4B,866,245,318,74,0,637,637,
6,Appling,4D,1493,247,641,176,1,1065,1065,
7,Appling,5A,1147,148,469,110,3,730,730,
8,Appling,5B,1126,207,414,116,3,740,740,
