index,County,Precinct,Registered Voters,Robert Matthew (I)_Election Day Votes,Robert Matthew (I)_Advanced Voting Votes,Robert Matthew (I)_Absentee by Mail Votes,Robert Matthew (I)_Provisional Votes,Robert Matthew (I)_Choice Total,Total,
0,Appling,1B,1309,237,487,137,0,861,861,
1,Appling,1C,848,170,333,67,2,572,572,
2,Appling,2,2251,224,521,223,1,969,969,
3,Appling,3A1,793,214,273,52,0,539,539,
4,Appling,3C,1566,135,634,164,0,933,933,
5,Appling,4B,866,230,297,67,0,594,594,
6,Appling,4D,1493,236,619,163,1,1019,1019,
7,Appling,5A,1147,142,440,107,3,692,692,
8,Appling,5B,1126,195,401,113,3,712,712,
