index,County,Precinct,Registered Voters,Charlie Leggett (I) (Rep)_Election Day Votes,Charlie Leggett (I) (Rep)_Advanced Voting Votes,Charlie Leggett (I) (Rep)_Absentee by Mail Votes,Charlie Leggett (I) (Rep)_Provisional Votes,Charlie Leggett (I) (Rep)_Choice Total,Total,
0,Appling,5A,1147,140,445,101,2,688,688,
1,Appling,5B,1126,199,394,111,3,707,707,
