index,County,Precinct,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,
0,Appling,1B,1309,134,318,85,0,537,126,200,76,0,402,939,
1,Appling,1C,848,98,242,48,2,390,88,117,26,0,231,621,
2,Appling,2,2251,117,226,64,0,407,160,442,263,2,867,1274,
3,Appling,3A1,793,169,203,51,0,423,63,87,16,0,166,589,
4,Appling,3C,1566,71,426,98,0,595,80,268,125,0,473,1068,
5,Appling,4B,866,195,241,57,0,493,52,79,18,0,149,642,
6,Appling,4D,1493,164,474,126,1,765,92,210,61,0,363,1128,
7,Appling,5A,1147,86,312,77,1,476,66,180,46,2,294,770,
8,Appling,5B,1126,110,252,73,1,436,118,192,52,2,364,800,
