County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Lee,First Baptist,3921.0,504.0,1397.0,249.0,0.0,2150.0,141.0,498.0,255.0,1.0,895.0,20.0,25.0,12.0,0.0,57.0,3102.0
Lee,SDA Church,1576.0,267.0,536.0,99.0,0.0,902.0,60.0,171.0,80.0,0.0,311.0,6.0,9.0,1.0,0.0,16.0,1229.0
Lee,Flint Reformed Baptist,2621.0,326.0,866.0,103.0,0.0,1295.0,93.0,251.0,113.0,0.0,457.0,8.0,9.0,4.0,0.0,21.0,1773.0
Lee,Century Fire Station,3162.0,306.0,990.0,183.0,1.0,1480.0,144.0,428.0,181.0,0.0,753.0,12.0,20.0,9.0,0.0,41.0,2274.0
Washington,Riddleville,561.0,136.0,102.0,40.0,0.0,278.0,41.0,35.0,61.0,1.0,138.0,5.0,2.0,2.0,0.0,9.0,425.0
Washington,Warthen,742.0,171.0,101.0,59.0,0.0,331.0,79.0,60.0,90.0,1.0,230.0,6.0,1.0,2.0,0.0,9.0,570.0
Washington,Tennille,2512.0,167.0,438.0,111.0,0.0,716.0,235.0,450.0,292.0,3.0,980.0,10.0,16.0,4.0,0.0,30.0,1726.0
Washington,Oconee,581.0,124.0,75.0,25.0,0.0,224.0,59.0,63.0,75.0,1.0,198.0,1.0,2.0,0.0,0.0,3.0,425.0
Washington,Harrison,1005.0,211.0,216.0,50.0,2.0,479.0,84.0,66.0,95.0,0.0,245.0,9.0,6.0,1.0,0.0,16.0,740.0
Washington,Davisboro,814.0,137.0,158.0,43.0,0.0,338.0,98.0,60.0,79.0,0.0,237.0,8.0,3.0,9.0,0.0,20.0,595.0
