County,Precinct,Registered Voters,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Chattooga,Cloudland,378.0,1.0,1.0,81.0,4.0,4.0,5.0,7.0,13.0,0.0,4.0,2.0,11.0,105.0,1.0,2.0,0.0,2.0,11.0,37.0,3.0,294.0
Chattooga,Pennville,588.0,2.0,4.0,116.0,0.0,16.0,3.0,5.0,11.0,1.0,8.0,2.0,3.0,133.0,2.0,1.0,1.0,0.0,7.0,32.0,2.0,349.0
Pierce,Hacklebarney-Cason,3524.0,7.0,4.0,975.0,5.0,42.0,8.0,26.0,81.0,36.0,33.0,28.0,33.0,722.0,13.0,9.0,1.0,2.0,64.0,233.0,6.0,2328.0
Pierce,Blackshear,3207.0,11.0,14.0,964.0,3.0,60.0,14.0,45.0,38.0,11.0,43.0,16.0,35.0,681.0,9.0,20.0,4.0,2.0,90.0,85.0,1.0,2146.0
Pierce,St Johns-Blackshear,1611.0,3.0,2.0,592.0,2.0,26.0,4.0,12.0,15.0,4.0,19.0,7.0,23.0,376.0,2.0,7.0,1.0,1.0,46.0,33.0,1.0,1176.0
Pierce,Otter Creek,1397.0,3.0,4.0,479.0,0.0,21.0,4.0,12.0,20.0,3.0,20.0,5.0,12.0,330.0,3.0,5.0,1.0,0.0,40.0,30.0,2.0,994.0
Pierce,Patterson,1311.0,4.0,2.0,413.0,1.0,21.0,6.0,10.0,28.0,10.0,14.0,10.0,6.0,308.0,4.0,5.0,1.0,4.0,20.0,59.0,2.0,928.0
Pierce,Mershon,478.0,3.0,0.0,173.0,0.0,7.0,0.0,4.0,2.0,2.0,5.0,0.0,2.0,112.0,2.0,2.0,1.0,0.0,22.0,13.0,0.0,350.0
Pierce,Alabaha,918.0,1.0,2.0,310.0,3.0,15.0,0.0,11.0,10.0,2.0,11.0,2.0,9.0,212.0,4.0,2.0,1.0,1.0,23.0,22.0,2.0,643.0
Pierce,Sunset-Sweat,271.0,0.0,0.0,128.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,221.0
Lincoln,Midway,587.0,1.0,0.0,108.0,1.0,9.0,1.0,3.0,16.0,7.0,7.0,1.0,11.0,171.0,2.0,3.0,0.0,7.0,2.0,81.0,2.0,433.0
Lincoln,Lincoln Club House,799.0,2.0,1.0,82.0,1.0,4.0,2.0,3.0,55.0,23.0,4.0,14.0,11.0,127.0,7.0,1.0,3.0,26.0,2.0,192.0,4.0,564.0
Lincoln,Lincoln Center,1489.0,1.0,2.0,364.0,5.0,5.0,2.0,7.0,35.0,21.0,8.0,9.0,16.0,453.0,1.0,11.0,0.0,17.0,6.0,141.0,1.0,1105.0
Lincoln,Faith Temple of Lincoln,489.0,1.0,1.0,87.0,0.0,4.0,2.0,0.0,24.0,5.0,2.0,6.0,6.0,124.0,3.0,0.0,1.0,8.0,5.0,73.0,1.0,353.0
Lincoln,Tabernacle,1003.0,0.0,2.0,166.0,0.0,7.0,2.0,6.0,41.0,21.0,2.0,12.0,17.0,231.0,6.0,4.0,1.0,36.0,2.0,164.0,5.0,725.0
Lincoln,Bethany Church,575.0,1.0,1.0,138.0,0.0,2.0,0.0,4.0,7.0,2.0,6.0,4.0,4.0,190.0,1.0,4.0,1.0,3.0,4.0,45.0,0.0,417.0
Lincoln,Martins Crossroad,1234.0,5.0,1.0,301.0,1.0,9.0,1.0,9.0,21.0,5.0,10.0,4.0,19.0,429.0,4.0,8.0,2.0,17.0,8.0,107.0,3.0,964.0
Colquitt,Shaw,3487.0,3.0,6.0,167.0,3.0,12.0,6.0,8.0,162.0,32.0,8.0,53.0,33.0,203.0,9.0,6.0,2.0,7.0,9.0,805.0,17.0,1551.0
Colquitt,Moultrie,4809.0,13.0,7.0,646.0,5.0,29.0,6.0,21.0,186.0,54.0,19.0,68.0,64.0,1058.0,19.0,15.0,3.0,12.0,25.0,667.0,16.0,2933.0
Colquitt,Autreyville,1512.0,6.0,1.0,278.0,4.0,17.0,2.0,7.0,41.0,7.0,19.0,18.0,17.0,389.0,5.0,4.0,2.0,2.0,10.0,102.0,5.0,936.0
Colquitt,Bridgecreek,1191.0,1.0,2.0,303.0,2.0,20.0,0.0,9.0,9.0,5.0,13.0,3.0,8.0,440.0,2.0,0.0,2.0,2.0,9.0,61.0,3.0,894.0
Colquitt,Crosland,289.0,0.0,0.0,48.0,0.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,2.0,83.0,1.0,0.0,0.0,1.0,1.0,31.0,0.0,180.0
Colquitt,Doerun,619.0,0.0,1.0,109.0,1.0,4.0,2.0,2.0,22.0,9.0,0.0,8.0,5.0,164.0,4.0,1.0,1.0,0.0,5.0,85.0,2.0,425.0
Colquitt,Funston,1030.0,3.0,2.0,236.0,2.0,6.0,1.0,7.0,14.0,2.0,4.0,4.0,15.0,341.0,2.0,4.0,1.0,1.0,7.0,63.0,1.0,716.0
Colquitt,Hamilton,784.0,2.0,1.0,210.0,2.0,8.0,4.0,5.0,9.0,0.0,4.0,4.0,6.0,255.0,1.0,3.0,2.0,1.0,8.0,37.0,0.0,562.0
Colquitt,Hartsfield,408.0,0.0,0.0,116.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,163.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,314.0
Colquitt,Hopewell,1670.0,2.0,2.0,355.0,3.0,17.0,4.0,9.0,32.0,4.0,11.0,9.0,19.0,564.0,4.0,12.0,0.0,2.0,10.0,96.0,4.0,1159.0
Colquitt,Lee,1094.0,1.0,5.0,216.0,1.0,14.0,2.0,11.0,20.0,5.0,7.0,8.0,10.0,296.0,1.0,3.0,0.0,1.0,6.0,57.0,0.0,664.0
Colquitt,Millcreek,422.0,0.0,3.0,91.0,0.0,3.0,0.0,4.0,3.0,0.0,3.0,2.0,5.0,167.0,1.0,3.0,1.0,1.0,3.0,13.0,2.0,305.0
Colquitt,Monk,1555.0,0.0,5.0,342.0,1.0,9.0,2.0,9.0,23.0,11.0,8.0,15.0,7.0,484.0,1.0,5.0,0.0,3.0,10.0,107.0,2.0,1044.0
Colquitt,Murphy,973.0,2.0,2.0,261.0,0.0,9.0,2.0,7.0,17.0,2.0,8.0,1.0,10.0,368.0,2.0,5.0,0.0,0.0,10.0,60.0,0.0,766.0
Colquitt,Norman Park,2586.0,6.0,3.0,417.0,2.0,34.0,2.0,15.0,65.0,21.0,18.0,21.0,34.0,683.0,4.0,7.0,0.0,4.0,20.0,218.0,8.0,1582.0
Colquitt,Robinson,860.0,3.0,1.0,160.0,1.0,11.0,0.0,12.0,13.0,2.0,5.0,6.0,7.0,277.0,2.0,3.0,1.0,0.0,5.0,56.0,1.0,566.0
Colquitt,Thigpen,251.0,0.0,0.0,58.0,0.0,4.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,90.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,173.0
Colquitt,Tyty,543.0,0.0,0.0,100.0,2.0,7.0,0.0,1.0,7.0,0.0,1.0,0.0,5.0,211.0,1.0,3.0,1.0,1.0,2.0,12.0,0.0,354.0
Colquitt,Warrior,971.0,2.0,1.0,223.0,0.0,7.0,2.0,4.0,21.0,4.0,4.0,3.0,11.0,326.0,3.0,1.0,1.0,0.0,11.0,33.0,1.0,658.0
Habersham,Habersham North,9096.0,6.0,24.0,3576.0,10.0,81.0,20.0,73.0,116.0,32.0,41.0,48.0,111.0,1902.0,25.0,60.0,15.0,11.0,46.0,726.0,16.0,6939.0
Habersham,Habersham South,6171.0,12.0,19.0,2026.0,10.0,60.0,10.0,37.0,115.0,33.0,31.0,38.0,69.0,1014.0,6.0,44.0,3.0,8.0,33.0,517.0,18.0,4103.0
Habersham,Demorest,4963.0,7.0,9.0,1912.0,9.0,41.0,7.0,31.0,63.0,20.0,31.0,14.0,49.0,1005.0,12.0,28.0,6.0,6.0,25.0,316.0,10.0,3601.0
Habersham,Town of Mt Airy,790.0,3.0,0.0,236.0,2.0,3.0,4.0,2.0,22.0,2.0,3.0,6.0,6.0,143.0,4.0,5.0,2.0,0.0,4.0,62.0,1.0,510.0
Habersham,City of Baldwin,1252.0,5.0,3.0,321.0,2.0,12.0,0.0,10.0,39.0,7.0,6.0,16.0,14.0,154.0,4.0,8.0,0.0,1.0,5.0,87.0,4.0,698.0
Habersham,Mud Creek,4435.0,4.0,3.0,1656.0,4.0,30.0,6.0,22.0,72.0,21.0,28.0,19.0,52.0,788.0,10.0,18.0,5.0,3.0,21.0,243.0,12.0,3017.0
Habersham,Amys Creek,1557.0,1.0,4.0,592.0,2.0,10.0,2.0,10.0,16.0,5.0,9.0,6.0,25.0,365.0,6.0,8.0,1.0,2.0,8.0,182.0,0.0,1254.0
Meriwether,Chalybeate,451.0,0.0,2.0,136.0,0.0,2.0,0.0,0.0,10.0,0.0,4.0,2.0,2.0,152.0,0.0,3.0,1.0,0.0,6.0,33.0,1.0,354.0
Meriwether,Gill I,1662.0,4.0,5.0,317.0,1.0,17.0,5.0,10.0,48.0,20.0,14.0,31.0,23.0,358.0,6.0,6.0,4.0,2.0,11.0,274.0,11.0,1167.0
Meriwether,Gill II,1000.0,1.0,4.0,77.0,2.0,2.0,0.0,3.0,75.0,29.0,4.0,21.0,14.0,50.0,5.0,1.0,1.0,1.0,1.0,359.0,6.0,656.0
Meriwether,Odessadale,296.0,2.0,1.0,52.0,2.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,3.0,78.0,0.0,0.0,0.0,0.0,1.0,73.0,1.0,228.0
Meriwether,Greenville,2009.0,5.0,5.0,273.0,0.0,18.0,5.0,15.0,95.0,23.0,10.0,35.0,15.0,337.0,9.0,3.0,0.0,1.0,7.0,458.0,14.0,1328.0
Meriwether,Lone Oak,1263.0,2.0,3.0,187.0,1.0,15.0,0.0,6.0,46.0,13.0,5.0,20.0,6.0,254.0,5.0,4.0,0.0,3.0,12.0,317.0,4.0,903.0
Meriwether,Luthersville,2760.0,1.0,4.0,450.0,2.0,22.0,4.0,20.0,84.0,19.0,15.0,36.0,26.0,615.0,10.0,7.0,11.0,4.0,12.0,495.0,13.0,1850.0
Meriwether,Alvaton,1528.0,1.0,2.0,260.0,1.0,11.0,3.0,10.0,34.0,11.0,8.0,11.0,9.0,407.0,4.0,2.0,0.0,0.0,3.0,304.0,6.0,1087.0
Meriwether,Gay,411.0,2.0,2.0,103.0,0.0,4.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,107.0,0.0,1.0,0.0,2.0,0.0,60.0,1.0,298.0
Meriwether,Woodbury,1363.0,2.0,6.0,200.0,2.0,8.0,3.0,7.0,62.0,24.0,17.0,22.0,11.0,256.0,4.0,3.0,1.0,5.0,9.0,308.0,1.0,951.0
Meriwether,Warm Springs,1161.0,4.0,4.0,238.0,1.0,14.0,2.0,7.0,45.0,14.0,5.0,17.0,15.0,266.0,4.0,2.0,0.0,5.0,7.0,160.0,4.0,814.0
Meriwether,Durand,730.0,1.0,4.0,158.0,0.0,6.0,1.0,8.0,28.0,4.0,3.0,6.0,2.0,170.0,6.0,0.0,0.0,0.0,1.0,123.0,4.0,525.0
Meriwether,Raleigh,501.0,1.0,2.0,149.0,0.0,8.0,0.0,3.0,11.0,1.0,3.0,2.0,1.0,128.0,1.0,2.0,1.0,0.0,10.0,47.0,0.0,370.0
Meriwether,Cove,202.0,0.0,0.0,64.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,77.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,163.0
Camden,Tarboro,979.0,1.0,4.0,223.0,2.0,21.0,3.0,11.0,41.0,13.0,10.0,13.0,18.0,191.0,4.0,9.0,2.0,4.0,16.0,76.0,4.0,666.0
Camden,Waverly,1530.0,2.0,4.0,373.0,2.0,23.0,3.0,22.0,57.0,18.0,28.0,16.0,27.0,393.0,9.0,8.0,1.0,8.0,25.0,174.0,5.0,1198.0
Camden,Woodbine,1973.0,8.0,8.0,334.0,3.0,40.0,4.0,21.0,103.0,28.0,22.0,38.0,33.0,376.0,25.0,8.0,2.0,2.0,21.0,264.0,5.0,1345.0
Camden,Browntown,698.0,1.0,5.0,179.0,1.0,27.0,2.0,9.0,14.0,1.0,12.0,7.0,22.0,127.0,3.0,9.0,1.0,3.0,5.0,26.0,0.0,454.0
Camden,Harrietts Bluff,1834.0,6.0,15.0,388.0,7.0,69.0,6.0,34.0,53.0,8.0,29.0,20.0,44.0,498.0,9.0,13.0,6.0,3.0,26.0,119.0,5.0,1358.0
Camden,West Kingsland,2782.0,14.0,14.0,593.0,11.0,92.0,10.0,41.0,129.0,33.0,49.0,33.0,63.0,494.0,16.0,26.0,9.0,8.0,27.0,147.0,8.0,1817.0
Camden,North Kingsland,2599.0,16.0,15.0,268.0,6.0,50.0,8.0,29.0,191.0,64.0,23.0,62.0,58.0,303.0,31.0,29.0,10.0,12.0,24.0,306.0,14.0,1519.0
Camden,Kingsland,2274.0,11.0,8.0,269.0,3.0,69.0,13.0,40.0,105.0,51.0,19.0,45.0,64.0,298.0,25.0,21.0,9.0,5.0,26.0,141.0,8.0,1230.0
Camden,East Kingsland,6866.0,17.0,35.0,1049.0,19.0,189.0,19.0,106.0,383.0,112.0,84.0,113.0,172.0,1232.0,58.0,76.0,18.0,27.0,86.0,576.0,18.0,4389.0
Camden,North St Marys,2095.0,12.0,9.0,187.0,9.0,28.0,6.0,31.0,116.0,31.0,20.0,39.0,36.0,224.0,10.0,24.0,9.0,3.0,27.0,118.0,6.0,945.0
Camden,St Marys,3218.0,10.0,15.0,457.0,14.0,72.0,13.0,42.0,217.0,73.0,40.0,64.0,84.0,528.0,31.0,39.0,11.0,11.0,33.0,298.0,13.0,2065.0
Camden,South St Marys,2139.0,12.0,13.0,425.0,5.0,45.0,9.0,27.0,101.0,23.0,25.0,25.0,64.0,442.0,21.0,15.0,5.0,10.0,23.0,236.0,7.0,1533.0
Camden,Mush Bluff,2816.0,10.0,12.0,467.0,10.0,80.0,11.0,56.0,149.0,39.0,26.0,52.0,87.0,614.0,21.0,35.0,13.0,7.0,37.0,202.0,12.0,1940.0
Camden,West St Marys,3147.0,5.0,12.0,701.0,5.0,64.0,9.0,34.0,122.0,29.0,25.0,23.0,103.0,911.0,33.0,21.0,8.0,6.0,44.0,284.0,19.0,2458.0
Quitman,Georgetown,1454.0,3.0,2.0,249.0,2.0,15.0,6.0,7.0,83.0,18.0,11.0,20.0,27.0,262.0,21.0,1.0,2.0,8.0,8.0,260.0,7.0,1012.0
Quitman,Morris,93.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,23.0,2.0,0.0,1.0,0.0,0.0,23.0,0.0,65.0
Mitchell,Baconton,1129.0,0.0,2.0,219.0,1.0,6.0,2.0,6.0,34.0,7.0,7.0,12.0,15.0,151.0,4.0,4.0,1.0,0.0,6.0,248.0,7.0,732.0
Mitchell,Branchville,599.0,0.0,0.0,216.0,0.0,5.0,0.0,2.0,12.0,1.0,2.0,3.0,4.0,152.0,0.0,1.0,0.0,1.0,4.0,56.0,2.0,461.0
Mitchell,Camilla North,1996.0,6.0,5.0,132.0,4.0,6.0,2.0,6.0,133.0,30.0,2.0,43.0,38.0,113.0,7.0,1.0,1.0,3.0,3.0,672.0,13.0,1220.0
Mitchell,Camilla South,3475.0,8.0,4.0,606.0,5.0,10.0,2.0,12.0,190.0,38.0,11.0,56.0,43.0,552.0,21.0,5.0,1.0,7.0,13.0,745.0,15.0,2344.0
Mitchell,Cotton,399.0,0.0,1.0,182.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,90.0,0.0,1.0,0.0,0.0,3.0,14.0,3.0,313.0
Mitchell,Hopeful,350.0,2.0,0.0,116.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,88.0,1.0,2.0,0.0,0.0,1.0,29.0,0.0,253.0
Mitchell,Hinsonton,134.0,1.0,0.0,69.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,109.0
Mitchell,Lester,1357.0,2.0,4.0,288.0,1.0,19.0,2.0,5.0,16.0,10.0,9.0,11.0,7.0,341.0,0.0,2.0,0.0,0.0,12.0,127.0,4.0,860.0
Mitchell,Pebble City,162.0,0.0,0.0,47.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,59.0,2.0,0.0,0.0,1.0,1.0,9.0,0.0,126.0
Mitchell,Pelham,3489.0,6.0,4.0,570.0,1.0,30.0,7.0,12.0,203.0,49.0,14.0,47.0,46.0,416.0,16.0,4.0,6.0,4.0,14.0,647.0,26.0,2122.0
Mitchell,Sale City,384.0,0.0,0.0,93.0,1.0,3.0,0.0,2.0,4.0,2.0,1.0,2.0,3.0,102.0,3.0,0.0,0.0,0.0,4.0,48.0,2.0,270.0
Wilkes,Senior Citizen Center,1552.0,2.0,1.0,162.0,2.0,12.0,1.0,8.0,119.0,39.0,7.0,28.0,33.0,201.0,16.0,6.0,2.0,7.0,3.0,386.0,9.0,1044.0
Wilkes,Young Farmers Bldg,1173.0,3.0,3.0,255.0,1.0,13.0,4.0,12.0,40.0,3.0,6.0,13.0,13.0,411.0,3.0,6.0,0.0,6.0,2.0,119.0,2.0,915.0
Wilkes,Metasville Fire Sta,610.0,0.0,1.0,104.0,1.0,6.0,1.0,1.0,17.0,11.0,4.0,6.0,5.0,205.0,2.0,1.0,0.0,7.0,1.0,76.0,3.0,452.0
Wilkes,Edward B Pope Center,1017.0,1.0,2.0,84.0,2.0,5.0,0.0,5.0,108.0,25.0,6.0,22.0,20.0,92.0,7.0,3.0,1.0,6.0,1.0,269.0,5.0,664.0
Wilkes,Rayle City Hall,570.0,4.0,1.0,110.0,0.0,8.0,1.0,3.0,25.0,6.0,1.0,4.0,8.0,148.0,5.0,0.0,0.0,4.0,2.0,80.0,3.0,413.0
Wilkes,Courthouse,1001.0,1.0,3.0,225.0,1.0,10.0,1.0,8.0,37.0,10.0,8.0,12.0,9.0,235.0,7.0,0.0,1.0,3.0,4.0,167.0,2.0,744.0
Wilkes,Tignal Sch Lunch Rm,896.0,1.0,1.0,191.0,2.0,9.0,5.0,5.0,40.0,12.0,6.0,9.0,13.0,201.0,5.0,2.0,1.0,5.0,6.0,160.0,0.0,674.0
Lee,Chokee,475.0,0.0,0.0,81.0,1.0,4.0,0.0,1.0,12.0,4.0,1.0,4.0,4.0,93.0,1.0,0.0,0.0,1.0,5.0,131.0,2.0,345.0
Lee,Redbone,4841.0,12.0,10.0,1031.0,7.0,75.0,9.0,36.0,99.0,19.0,28.0,28.0,45.0,1461.0,10.0,21.0,2.0,2.0,56.0,482.0,13.0,3446.0
Lee,Smithville,998.0,1.0,2.0,176.0,2.0,9.0,1.0,5.0,33.0,9.0,4.0,11.0,13.0,202.0,1.0,2.0,0.0,1.0,4.0,188.0,4.0,668.0
Lee,CJC,614.0,2.0,0.0,180.0,1.0,10.0,0.0,4.0,9.0,1.0,2.0,3.0,3.0,210.0,2.0,3.0,0.0,0.0,9.0,44.0,2.0,485.0
Lee,Leesburg,3313.0,7.0,9.0,585.0,5.0,25.0,12.0,22.0,91.0,33.0,20.0,30.0,53.0,825.0,14.0,15.0,5.0,13.0,23.0,417.0,7.0,2211.0
Lee,Friendship Baptist,1376.0,1.0,2.0,296.0,0.0,12.0,1.0,11.0,17.0,8.0,7.0,8.0,11.0,460.0,0.0,7.0,1.0,2.0,11.0,126.0,0.0,981.0
Lee,First Baptist,3921.0,3.0,6.0,868.0,3.0,42.0,10.0,28.0,99.0,26.0,18.0,25.0,51.0,1153.0,18.0,20.0,7.0,7.0,26.0,658.0,14.0,3082.0
Lee,SDA Church,1576.0,4.0,5.0,375.0,0.0,19.0,1.0,10.0,43.0,12.0,13.0,15.0,34.0,461.0,5.0,5.0,6.0,4.0,11.0,192.0,2.0,1217.0
Lee,Flint Reformed Baptist,2621.0,7.0,3.0,491.0,2.0,31.0,9.0,15.0,59.0,18.0,13.0,23.0,43.0,709.0,13.0,13.0,2.0,3.0,17.0,285.0,3.0,1759.0
Lee,Century Fire Station,3162.0,8.0,10.0,592.0,2.0,21.0,4.0,17.0,124.0,41.0,22.0,49.0,42.0,791.0,16.0,15.0,7.0,12.0,31.0,447.0,13.0,2264.0
Washington,Riddleville,561.0,0.0,0.0,119.0,1.0,4.0,1.0,5.0,24.0,3.0,2.0,13.0,2.0,149.0,2.0,0.0,0.0,9.0,3.0,83.0,4.0,424.0
Washington,Warthen,742.0,2.0,0.0,147.0,1.0,5.0,2.0,7.0,27.0,4.0,6.0,10.0,6.0,153.0,4.0,1.0,1.0,0.0,2.0,180.0,5.0,563.0
Washington,Tennille,2512.0,2.0,1.0,295.0,3.0,9.0,5.0,11.0,173.0,49.0,10.0,66.0,24.0,369.0,15.0,2.0,6.0,11.0,5.0,634.0,11.0,1701.0
Washington,Oconee,581.0,1.0,0.0,107.0,1.0,2.0,1.0,2.0,24.0,4.0,4.0,7.0,4.0,105.0,3.0,2.0,0.0,3.0,1.0,148.0,2.0,421.0
Washington,Harrison,1005.0,1.0,3.0,197.0,2.0,5.0,2.0,5.0,38.0,15.0,9.0,11.0,9.0,261.0,3.0,5.0,0.0,1.0,6.0,169.0,1.0,743.0
Washington,Davisboro,814.0,3.0,3.0,121.0,1.0,9.0,2.0,6.0,39.0,9.0,4.0,9.0,10.0,193.0,3.0,1.0,1.0,7.0,2.0,167.0,3.0,593.0
Washington,Sandersville,6221.0,14.0,8.0,809.0,14.0,24.0,11.0,32.0,415.0,92.0,24.0,151.0,83.0,974.0,20.0,5.0,4.0,25.0,19.0,1579.0,27.0,4330.0
Washington,Deepstep,554.0,0.0,3.0,116.0,2.0,5.0,1.0,0.0,14.0,2.0,3.0,4.0,5.0,172.0,0.0,2.0,0.0,0.0,5.0,86.0,2.0,422.0
Richmond,101,896.0,2.0,2.0,112.0,3.0,4.0,4.0,4.0,38.0,7.0,4.0,8.0,20.0,172.0,7.0,6.0,3.0,36.0,1.0,213.0,3.0,649.0
Richmond,102,1278.0,2.0,1.0,41.0,8.0,8.0,3.0,10.0,85.0,21.0,2.0,19.0,18.0,91.0,7.0,4.0,3.0,57.0,4.0,245.0,10.0,639.0
Richmond,103,1428.0,5.0,0.0,9.0,3.0,2.0,2.0,5.0,109.0,49.0,3.0,35.0,17.0,11.0,8.0,0.0,2.0,92.0,2.0,394.0,10.0,758.0
Richmond,104,2976.0,11.0,4.0,28.0,2.0,6.0,5.0,5.0,203.0,66.0,4.0,54.0,35.0,59.0,32.0,5.0,2.0,210.0,4.0,874.0,26.0,1635.0
Richmond,105,832.0,3.0,1.0,6.0,3.0,0.0,1.0,3.0,81.0,19.0,4.0,18.0,14.0,18.0,3.0,1.0,1.0,62.0,3.0,283.0,16.0,540.0
Richmond,106,1182.0,1.0,2.0,56.0,7.0,4.0,3.0,1.0,62.0,17.0,5.0,19.0,18.0,55.0,10.0,1.0,4.0,40.0,2.0,188.0,6.0,501.0
Richmond,107,1800.0,7.0,2.0,205.0,6.0,2.0,6.0,9.0,71.0,28.0,4.0,18.0,30.0,362.0,9.0,8.0,2.0,91.0,2.0,407.0,3.0,1272.0
Richmond,108,517.0,1.0,1.0,10.0,1.0,2.0,2.0,2.0,23.0,14.0,2.0,11.0,8.0,26.0,9.0,1.0,1.0,41.0,0.0,169.0,2.0,326.0
Richmond,109,1052.0,2.0,3.0,24.0,8.0,4.0,4.0,2.0,58.0,24.0,3.0,19.0,25.0,67.0,9.0,13.0,2.0,70.0,4.0,275.0,2.0,618.0
Richmond,111,1578.0,1.0,4.0,52.0,3.0,5.0,3.0,6.0,98.0,25.0,3.0,32.0,22.0,111.0,8.0,6.0,2.0,92.0,5.0,393.0,9.0,880.0
Richmond,112,882.0,4.0,3.0,75.0,2.0,4.0,2.0,4.0,39.0,10.0,6.0,11.0,20.0,106.0,6.0,5.0,1.0,37.0,3.0,185.0,4.0,527.0
Richmond,114,856.0,3.0,0.0,18.0,1.0,4.0,2.0,2.0,64.0,20.0,1.0,15.0,11.0,25.0,7.0,1.0,0.0,40.0,2.0,220.0,6.0,442.0
Richmond,201,581.0,2.0,2.0,10.0,2.0,2.0,3.0,1.0,87.0,39.0,2.0,20.0,15.0,20.0,15.0,1.0,1.0,90.0,1.0,450.0,13.0,776.0
Richmond,115,1332.0,0.0,0.0,28.0,0.0,5.0,1.0,1.0,22.0,9.0,2.0,6.0,9.0,74.0,6.0,1.0,0.0,12.0,2.0,81.0,0.0,259.0
Richmond,202,4492.0,5.0,7.0,217.0,7.0,16.0,7.0,29.0,305.0,92.0,11.0,81.0,70.0,424.0,49.0,15.0,10.0,188.0,11.0,926.0,31.0,2501.0
Richmond,203,991.0,2.0,3.0,9.0,0.0,4.0,0.0,1.0,61.0,29.0,1.0,12.0,11.0,3.0,4.0,2.0,2.0,85.0,0.0,291.0,8.0,528.0
Richmond,204,1578.0,2.0,4.0,182.0,8.0,7.0,2.0,9.0,43.0,23.0,7.0,23.0,33.0,289.0,16.0,16.0,8.0,50.0,7.0,343.0,4.0,1076.0
Richmond,207,2705.0,2.0,6.0,42.0,3.0,6.0,6.0,5.0,165.0,75.0,7.0,44.0,36.0,83.0,27.0,2.0,4.0,130.0,6.0,686.0,17.0,1352.0
Richmond,208,2651.0,3.0,8.0,72.0,2.0,4.0,4.0,6.0,183.0,50.0,5.0,59.0,45.0,140.0,24.0,2.0,4.0,132.0,2.0,650.0,17.0,1412.0
Richmond,210,1507.0,5.0,5.0,39.0,4.0,6.0,3.0,4.0,93.0,25.0,5.0,31.0,26.0,82.0,11.0,2.0,4.0,118.0,3.0,474.0,15.0,955.0
Richmond,301,2409.0,2.0,7.0,409.0,7.0,8.0,5.0,12.0,63.0,24.0,6.0,14.0,27.0,730.0,10.0,12.0,3.0,97.0,11.0,463.0,4.0,1914.0
Richmond,302,1032.0,1.0,3.0,58.0,2.0,6.0,4.0,4.0,62.0,35.0,0.0,20.0,20.0,75.0,13.0,4.0,1.0,38.0,4.0,248.0,10.0,608.0
Richmond,303,1417.0,1.0,3.0,329.0,5.0,6.0,1.0,8.0,27.0,2.0,6.0,6.0,25.0,450.0,2.0,11.0,3.0,57.0,3.0,199.0,2.0,1146.0
Richmond,304,365.0,1.0,2.0,64.0,0.0,0.0,1.0,5.0,7.0,3.0,0.0,1.0,8.0,91.0,1.0,5.0,1.0,19.0,2.0,60.0,1.0,272.0
Richmond,305,428.0,0.0,1.0,106.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,14.0,179.0,1.0,5.0,1.0,11.0,2.0,54.0,2.0,387.0
Richmond,306,3934.0,8.0,10.0,296.0,9.0,23.0,10.0,31.0,221.0,76.0,11.0,82.0,75.0,476.0,40.0,16.0,9.0,176.0,18.0,941.0,23.0,2551.0
