County,Precinct,Registered Voters,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Fulton,03H,1091.0,3.0,4.0,3.0,2.0,0.0,3.0,2.0,34.0,15.0,2.0,10.0,16.0,10.0,7.0,0.0,1.0,1.0,0.0,306.0,4.0,423.0
Fulton,03I,1607.0,2.0,5.0,29.0,19.0,0.0,3.0,4.0,64.0,19.0,5.0,37.0,41.0,55.0,5.0,10.0,1.0,4.0,0.0,325.0,5.0,633.0
Fulton,03L,748.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,17.0,7.0,2.0,8.0,14.0,5.0,2.0,0.0,2.0,1.0,0.0,154.0,2.0,219.0
Fulton,03M,965.0,2.0,3.0,34.0,4.0,1.0,0.0,2.0,29.0,13.0,0.0,19.0,31.0,58.0,14.0,5.0,3.0,3.0,2.0,328.0,2.0,553.0
Fulton,03N,2804.0,3.0,1.0,12.0,4.0,2.0,3.0,5.0,138.0,53.0,3.0,56.0,36.0,21.0,27.0,6.0,7.0,5.0,2.0,530.0,5.0,919.0
Fulton,03P1A,4404.0,12.0,10.0,103.0,19.0,11.0,12.0,15.0,290.0,96.0,4.0,110.0,162.0,169.0,56.0,28.0,14.0,23.0,11.0,1247.0,24.0,2416.0
Fulton,03P2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0
Fulton,03S,908.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,45.0,12.0,0.0,23.0,10.0,7.0,5.0,0.0,3.0,1.0,1.0,301.0,6.0,423.0
Fulton,03T,1742.0,6.0,2.0,10.0,1.0,2.0,4.0,4.0,89.0,64.0,2.0,27.0,31.0,22.0,23.0,4.0,5.0,5.0,3.0,519.0,5.0,828.0
Fulton,04A,1554.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,58.0,24.0,1.0,26.0,18.0,6.0,9.0,2.0,3.0,0.0,1.0,437.0,7.0,608.0
Fulton,04B,2948.0,2.0,0.0,9.0,3.0,1.0,0.0,3.0,103.0,51.0,1.0,40.0,33.0,18.0,10.0,3.0,2.0,6.0,1.0,500.0,5.0,791.0
Fulton,04C,150.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,36.0,0.0,52.0
Fulton,04D,1736.0,3.0,3.0,6.0,1.0,0.0,4.0,7.0,70.0,26.0,3.0,30.0,27.0,19.0,12.0,5.0,5.0,4.0,2.0,617.0,8.0,852.0
Fulton,04F,2786.0,2.0,9.0,29.0,3.0,1.0,2.0,5.0,154.0,60.0,4.0,44.0,41.0,59.0,29.0,3.0,8.0,8.0,4.0,788.0,14.0,1267.0
Fulton,04G,1025.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,30.0,18.0,0.0,13.0,12.0,5.0,4.0,1.0,3.0,2.0,1.0,294.0,9.0,407.0
Fulton,04I,4604.0,4.0,1.0,30.0,1.0,0.0,2.0,6.0,91.0,49.0,2.0,38.0,36.0,31.0,18.0,2.0,4.0,4.0,2.0,483.0,5.0,809.0
Fulton,04J,1617.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,42.0,19.0,0.0,9.0,10.0,3.0,3.0,1.0,1.0,1.0,0.0,94.0,2.0,195.0
Fulton,04K,2736.0,6.0,3.0,13.0,6.0,4.0,5.0,4.0,132.0,64.0,2.0,69.0,28.0,23.0,18.0,2.0,6.0,3.0,0.0,940.0,7.0,1335.0
Fulton,04L,2014.0,4.0,7.0,12.0,5.0,6.0,4.0,3.0,91.0,25.0,0.0,39.0,30.0,24.0,15.0,4.0,5.0,4.0,1.0,699.0,2.0,980.0
Fulton,04M,979.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,38.0,15.0,0.0,14.0,9.0,5.0,11.0,3.0,2.0,2.0,1.0,232.0,6.0,347.0
Fulton,04S,2541.0,13.0,0.0,11.0,8.0,4.0,8.0,5.0,118.0,35.0,1.0,39.0,36.0,22.0,20.0,7.0,2.0,5.0,4.0,905.0,9.0,1252.0
Fulton,04T,1297.0,2.0,5.0,7.0,5.0,1.0,0.0,3.0,63.0,27.0,1.0,26.0,28.0,12.0,13.0,1.0,4.0,6.0,0.0,472.0,12.0,688.0
Fulton,04V,3573.0,9.0,3.0,20.0,2.0,5.0,2.0,5.0,198.0,75.0,4.0,66.0,35.0,17.0,31.0,5.0,7.0,5.0,3.0,852.0,16.0,1360.0
Fulton,04W,3365.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,69.0,22.0,0.0,16.0,8.0,0.0,6.0,1.0,0.0,2.0,0.0,94.0,3.0,223.0
Fulton,04X1,2283.0,4.0,3.0,10.0,10.0,3.0,3.0,3.0,83.0,35.0,2.0,31.0,26.0,22.0,14.0,4.0,7.0,4.0,1.0,820.0,9.0,1094.0
Fulton,04X2,846.0,3.0,2.0,7.0,5.0,1.0,1.0,4.0,38.0,12.0,0.0,21.0,15.0,10.0,4.0,3.0,2.0,2.0,1.0,283.0,4.0,418.0
Fulton,05A1,2936.0,3.0,5.0,69.0,12.0,2.0,6.0,12.0,141.0,43.0,7.0,49.0,113.0,128.0,27.0,19.0,9.0,18.0,7.0,1502.0,17.0,2189.0
Fulton,05A2,3343.0,3.0,7.0,71.0,12.0,11.0,4.0,12.0,145.0,60.0,1.0,78.0,86.0,129.0,41.0,25.0,11.0,12.0,2.0,1670.0,12.0,2392.0
Fulton,05B,2171.0,4.0,3.0,19.0,3.0,4.0,2.0,6.0,111.0,54.0,1.0,46.0,50.0,27.0,23.0,4.0,5.0,3.0,2.0,741.0,6.0,1114.0
Fulton,05C,135.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,27.0,1.0,45.0
Fulton,05D,541.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,18.0,6.0,0.0,14.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,39.0,0.0,92.0
Fulton,05F,248.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,24.0,7.0,2.0,10.0,7.0,6.0,5.0,1.0,0.0,2.0,0.0,65.0,4.0,142.0
Fulton,05J,684.0,1.0,1.0,12.0,3.0,1.0,1.0,1.0,36.0,13.0,2.0,15.0,31.0,30.0,3.0,3.0,6.0,2.0,1.0,314.0,2.0,478.0
Fulton,05K,2826.0,8.0,5.0,40.0,7.0,1.0,8.0,9.0,146.0,59.0,4.0,67.0,52.0,53.0,33.0,14.0,11.0,13.0,3.0,672.0,13.0,1218.0
Fulton,06B,1889.0,4.0,7.0,86.0,6.0,7.0,3.0,7.0,87.0,14.0,8.0,26.0,78.0,136.0,22.0,11.0,5.0,5.0,8.0,911.0,6.0,1437.0
Fulton,06D,6160.0,13.0,11.0,310.0,21.0,20.0,6.0,25.0,311.0,109.0,14.0,109.0,265.0,645.0,54.0,48.0,12.0,25.0,8.0,3253.0,28.0,5287.0
Fulton,06D1,2539.0,4.0,7.0,106.0,9.0,3.0,3.0,4.0,58.0,10.0,1.0,13.0,75.0,223.0,9.0,15.0,3.0,2.0,6.0,924.0,5.0,1480.0
Fulton,06D2,850.0,1.0,0.0,51.0,0.0,3.0,1.0,4.0,12.0,1.0,0.0,6.0,27.0,73.0,1.0,3.0,0.0,2.0,0.0,306.0,2.0,493.0
Fulton,06E,2344.0,7.0,12.0,102.0,7.0,7.0,5.0,7.0,106.0,28.0,7.0,31.0,77.0,197.0,21.0,14.0,5.0,7.0,3.0,950.0,13.0,1606.0
Fulton,06F,2841.0,7.0,6.0,109.0,12.0,4.0,6.0,11.0,118.0,31.0,9.0,36.0,95.0,220.0,21.0,19.0,3.0,6.0,3.0,1321.0,7.0,2044.0
Fulton,06G,588.0,1.0,1.0,22.0,1.0,0.0,0.0,1.0,22.0,3.0,3.0,9.0,18.0,47.0,5.0,4.0,1.0,1.0,2.0,280.0,0.0,421.0
Fulton,06I,4072.0,12.0,10.0,109.0,15.0,11.0,5.0,18.0,297.0,104.0,6.0,108.0,143.0,191.0,51.0,23.0,11.0,22.0,10.0,1308.0,20.0,2474.0
Fulton,06J,2770.0,5.0,10.0,133.0,8.0,7.0,2.0,7.0,80.0,24.0,1.0,37.0,101.0,248.0,13.0,23.0,2.0,11.0,3.0,1495.0,12.0,2222.0
