index,County,Precinct,Registered Voters,"William K. Boddie, Jr. (I) (Dem)_Election Day Votes","William K. Boddie, Jr. (I) (Dem)_Advanced Voting Votes","William K. Boddie, Jr. (I) (Dem)_Absentee by Mail Votes","William K. Boddie, Jr. (I) (Dem)_Provisional Votes","William K. Boddie, Jr. (I) (Dem)_Choice Total",Total,
0,Douglas,Deer Lick,3042,204,779,375,0,1358,1358,
1,Douglas,Beulah Baptist Church,3500,334,802,452,1,1589,1589,
2,Douglas,Chestnut Log,5177,65,174,99,0,338,338,
3,Douglas,Factory Shoals,4359,269,1547,783,0,2599,2599,
4,Douglas,Boundary Waters,4220,274,1657,665,0,2596,2596,
