index,County,Precinct,Registered Voters,Tammy M. Howard (I) (Rep)_Election Day Votes,Tammy M. Howard (I) (Rep)_Advanced Voting Votes,Tammy M. Howard (I) (Rep)_Absentee by Mail Votes,Tammy M. Howard (I) (Rep)_Provisional Votes,Tammy M. Howard (I) (Rep)_Choice Total,Annetta Danley Stembridge (Dem)_Election Day Votes,Annetta Danley Stembridge (Dem)_Advanced Voting Votes,Annetta Danley Stembridge (Dem)_Absentee by Mail Votes,Annetta Danley Stembridge (Dem)_Provisional Votes,Annetta Danley Stembridge (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,447,1163,507,2,2119,407,1139,843,3,2392,4511,
1,Douglas,Winston,1911,115,334,127,0,576,139,381,166,2,688,1264,
2,Douglas,Dog River Library,4915,416,2037,512,0,2965,87,484,328,0,899,3864,
3,Douglas,Atlanta West Pentecostal,4076,80,132,76,0,288,381,927,515,1,1824,2112,
4,Douglas,Ephesus Baptist Church,3930,571,1391,431,0,2393,98,294,235,0,627,3020,
5,Douglas,Prays Mill Gym,5459,370,1451,502,0,2323,211,799,526,0,1536,3859,
6,Douglas,Turner,3847,227,562,289,0,1078,285,698,426,0,1409,2487,
7,Douglas,First Baptist Lithia Springs,1966,142,309,167,2,620,124,295,219,5,643,1263,
8,Douglas,Lithia Springs High School,6033,105,452,216,0,773,350,1786,1061,1,3198,3971,
9,Douglas,Deer Lick,3042,114,490,170,1,775,156,595,300,0,1051,1826,
10,Douglas,Golden Methodist Church,5634,101,315,182,1,599,425,1520,880,3,2828,3427,
11,Douglas,Old Courthouse,5675,152,645,358,0,1155,328,1097,661,4,2090,3245,
12,Douglas,Beulah Baptist Church,3500,251,625,300,1,1177,209,568,336,0,1113,2290,
13,Douglas,Stewart,3208,74,168,82,0,324,302,834,486,1,1623,1947,
14,Douglas,Arbor Station,2990,147,349,157,0,653,225,645,356,9,1235,1888,
15,Douglas,Bright Star,2703,251,577,221,1,1050,133,342,261,1,737,1787,
16,Douglas,Dorsett Shoals,3901,325,797,338,0,1460,170,459,359,1,989,2449,
17,Douglas,Chapel Hill,4016,144,548,192,0,884,234,1095,638,6,1973,2857,
18,Douglas,Church At Chapel Hill,6353,197,965,347,0,1509,342,1788,921,0,3051,4560,
19,Douglas,Chestnut Log,5177,130,423,202,1,756,284,1087,598,4,1973,2729,
20,Douglas,St Julians Episcopal,2253,184,411,206,0,801,132,310,253,0,695,1496,
21,Douglas,Lutheran Church-GS,4149,64,696,313,1,1074,47,1024,618,1,1690,2764,
22,Douglas,First Baptist Douglasville,2478,129,449,248,0,826,93,541,393,0,1027,1853,
23,Douglas,Factory Shoals,4359,129,523,213,1,866,207,1326,673,0,2206,3072,
24,Douglas,Boundary Waters,4220,52,337,77,1,467,241,1529,636,0,2406,2873,
