index,County,Precinct,Registered Voters,Mike Dugan (I) (Rep)_Election Day Votes,Mike Dugan (I) (Rep)_Advanced Voting Votes,Mike Dugan (I) (Rep)_Absentee by Mail Votes,Mike Dugan (I) (Rep)_Provisional Votes,Mike Dugan (I) (Rep)_Choice Total,Montenia Edwards (Dem)_Election Day Votes,Montenia Edwards (Dem)_Advanced Voting Votes,Montenia Edwards (Dem)_Absentee by Mail Votes,Montenia Edwards (Dem)_Provisional Votes,Montenia Edwards (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,443,1132,474,1,2050,406,1174,887,2,2469,4519,
1,Douglas,Dog River Library,4915,416,2018,485,0,2919,87,497,361,0,945,3864,
2,Douglas,Ephesus Baptist Church,3930,571,1352,427,0,2350,95,334,256,0,685,3035,
3,Douglas,Prays Mill Gym,5459,357,1423,471,0,2251,219,829,573,0,1621,3872,
4,Douglas,Bright Star,2703,258,560,209,1,1028,127,364,275,1,767,1795,
5,Douglas,Dorsett Shoals,3901,319,757,319,0,1395,175,491,379,0,1045,2440,
