index,County,Precinct,Registered Voters,Francisco X. R. Artley (Rep)_Election Day Votes,Francisco X. R. Artley (Rep)_Advanced Voting Votes,Francisco X. R. Artley (Rep)_Absentee by Mail Votes,Francisco X. R. Artley (Rep)_Provisional Votes,Francisco X. R. Artley (Rep)_Choice Total,Devetrion Caldwell (I) (Dem)_Election Day Votes,Devetrion Caldwell (I) (Dem)_Advanced Voting Votes,Devetrion Caldwell (I) (Dem)_Absentee by Mail Votes,Devetrion Caldwell (I) (Dem)_Provisional Votes,Devetrion Caldwell (I) (Dem)_Choice Total,Total,
0,Douglas,Lithia Springs High School,6033,49,190,80,0,319,64,304,218,0,586,905,
1,Douglas,Deer Lick,3042,107,462,149,0,718,163,629,319,0,1111,1829,
2,Douglas,Old Courthouse,5675,137,573,297,0,1007,340,1157,703,2,2202,3209,
3,Douglas,Beulah Baptist Church,3500,84,218,102,0,404,81,241,115,1,438,842,
4,Douglas,Stewart,3208,6,13,3,0,22,47,81,73,0,201,223,
5,Douglas,Chestnut Log,5177,117,389,175,1,682,297,1124,624,3,2048,2730,
6,Douglas,Lutheran Church-GS,4149,20,104,30,0,154,12,211,83,0,306,460,
7,Douglas,First Baptist Douglasville,2478,119,424,213,0,756,104,558,421,0,1083,1839,
8,Douglas,Factory Shoals,4359,39,111,32,1,183,64,278,151,0,493,676,
