index,County,Precinct,Registered Voters,Tim Pounds (I) (Dem)_Election Day Votes,Tim Pounds (I) (Dem)_Advanced Voting Votes,Tim Pounds (I) (Dem)_Absentee by Mail Votes,Tim Pounds (I) (Dem)_Provisional Votes,Tim Pounds (I) (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,704,1870,1160,5,3739,3739,
1,Douglas,Winston,1911,221,621,249,1,1092,1092,
2,Douglas,Dog River Library,4915,388,1878,659,0,2925,2925,
3,Douglas,Atlanta West Pentecostal,4076,430,1020,554,1,2005,2005,
4,Douglas,Ephesus Baptist Church,3930,496,1289,516,0,2301,2301,
5,Douglas,Prays Mill Gym,5459,478,1788,871,0,3137,3137,
6,Douglas,Turner,3847,435,1049,585,0,2069,2069,
7,Douglas,First Baptist Lithia Springs,1966,220,477,319,6,1022,1022,
8,Douglas,Lithia Springs High School,6033,416,2053,1186,1,3656,3656,
9,Douglas,Deer Lick,3042,237,894,416,1,1548,1548,
10,Douglas,Golden Methodist Church,5634,496,1756,1008,4,3264,3264,
11,Douglas,Old Courthouse,5675,437,1547,917,4,2905,2905,
12,Douglas,Beulah Baptist Church,3500,391,963,507,1,1862,1862,
13,Douglas,Stewart,3208,354,957,543,1,1855,1855,
14,Douglas,Arbor Station,2990,343,896,460,8,1707,1707,
15,Douglas,Bright Star,2703,327,750,401,2,1480,1480,
16,Douglas,Dorsett Shoals,3901,430,1017,577,1,2025,2025,
17,Douglas,Chapel Hill,4016,347,1494,767,6,2614,2614,
18,Douglas,Church At Chapel Hill,6353,472,2436,1138,0,4046,4046,
19,Douglas,Chestnut Log,5177,386,1386,703,5,2480,2480,
20,Douglas,St Julians Episcopal,2253,255,578,399,0,1232,1232,
21,Douglas,Lutheran Church-GS,4149,92,1500,815,2,2409,2409,
22,Douglas,First Baptist Douglasville,2478,189,846,545,0,1580,1580,
23,Douglas,Factory Shoals,4359,291,1659,825,1,2776,2776,
24,Douglas,Boundary Waters,4220,279,1762,685,1,2727,2727,
