index,County,Precinct,Registered Voters,Micah Gravley (I) (Rep)_Election Day Votes,Micah Gravley (I) (Rep)_Advanced Voting Votes,Micah Gravley (I) (Rep)_Absentee by Mail Votes,Micah Gravley (I) (Rep)_Provisional Votes,Micah Gravley (I) (Rep)_Choice Total,Angela Mayfield (Dem)_Election Day Votes,Angela Mayfield (Dem)_Advanced Voting Votes,Angela Mayfield (Dem)_Absentee by Mail Votes,Angela Mayfield (Dem)_Provisional Votes,Angela Mayfield (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,435,1135,471,1,2042,419,1183,895,3,2500,4542,
1,Douglas,Winston,1911,104,316,120,1,541,150,397,174,1,722,1263,
2,Douglas,Ephesus Baptist Church,3930,565,1357,423,0,2345,104,335,256,0,695,3040,
3,Douglas,Prays Mill Gym,5459,369,1417,468,0,2254,214,832,569,0,1615,3869,
4,Douglas,Bright Star,2703,253,559,205,1,1018,135,365,278,1,779,1797,
5,Douglas,Dorsett Shoals,3901,308,782,314,0,1404,189,481,388,0,1058,2462,
