index,County,Precinct,Registered Voters,Jason C. Jones (Rep)_Election Day Votes,Jason C. Jones (Rep)_Advanced Voting Votes,Jason C. Jones (Rep)_Absentee by Mail Votes,Jason C. Jones (Rep)_Provisional Votes,Jason C. Jones (Rep)_Choice Total,Kimberly Alexander (I) (Dem)_Election Day Votes,Kimberly Alexander (I) (Dem)_Advanced Voting Votes,Kimberly Alexander (I) (Dem)_Absentee by Mail Votes,Kimberly Alexander (I) (Dem)_Provisional Votes,Kimberly Alexander (I) (Dem)_Choice Total,Total,
0,Douglas,Golden Methodist Church,5634,80,239,123,0,442,446,1598,942,2,2988,3430,
1,Douglas,Old Courthouse,5675,146,574,301,0,1021,337,1174,723,3,2237,3258,
2,Douglas,Stewart,3208,56,134,60,0,250,322,871,516,0,1709,1959,
3,Douglas,Arbor Station,2990,127,307,133,0,567,247,690,394,9,1340,1907,
4,Douglas,Chapel Hill,4016,133,477,143,0,753,249,1165,693,6,2113,2866,
5,Douglas,Chestnut Log,5177,76,257,107,0,440,252,1011,556,5,1824,2264,
6,Douglas,St Julians Episcopal,2253,181,391,174,0,746,136,330,287,0,753,1499,
7,Douglas,Lutheran Church-GS,4149,59,638,257,1,955,50,1085,668,1,1804,2759,
8,Douglas,First Baptist Douglasville,2478,120,415,199,0,734,103,577,440,0,1120,1854,
