index,County,Precinct,Registered Voters,Dalia Racine (Dem)_Election Day Votes,Dalia Racine (Dem)_Advanced Voting Votes,Dalia Racine (Dem)_Absentee by Mail Votes,Dalia Racine (Dem)_Provisional Votes,Dalia Racine (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,650,1669,1090,4,3413,3413,
1,Douglas,Winston,1911,193,515,216,1,925,925,
2,Douglas,Dog River Library,4915,281,1244,567,0,2092,2092,
3,Douglas,Atlanta West Pentecostal,4076,426,1008,555,1,1990,1990,
4,Douglas,Ephesus Baptist Church,3930,356,839,405,0,1600,1600,
5,Douglas,Prays Mill Gym,5459,384,1356,760,0,2500,2500,
6,Douglas,Turner,3847,396,914,546,0,1856,1856,
7,Douglas,First Baptist Lithia Springs,1966,198,409,285,5,897,897,
8,Douglas,Lithia Springs High School,6033,413,1993,1174,0,3580,3580,
9,Douglas,Deer Lick,3042,207,786,382,1,1376,1376,
10,Douglas,Golden Methodist Church,5634,483,1714,984,4,3185,3185,
11,Douglas,Old Courthouse,5675,407,1363,816,4,2590,2590,
12,Douglas,Beulah Baptist Church,3500,339,814,451,1,1605,1605,
13,Douglas,Stewart,3208,349,924,534,1,1808,1808,
14,Douglas,Arbor Station,2990,314,799,434,9,1556,1556,
15,Douglas,Bright Star,2703,273,581,371,2,1227,1227,
16,Douglas,Dorsett Shoals,3901,363,805,514,1,1683,1683,
17,Douglas,Chapel Hill,4016,324,1378,745,6,2453,2453,
18,Douglas,Church At Chapel Hill,6353,442,2172,1082,0,3696,3696,
19,Douglas,Chestnut Log,5177,356,1271,679,5,2311,2311,
20,Douglas,St Julians Episcopal,2253,218,467,349,0,1034,1034,
21,Douglas,Lutheran Church-GS,4149,79,1324,763,1,2167,2167,
22,Douglas,First Baptist Douglasville,2478,156,702,492,0,1350,1350,
23,Douglas,Factory Shoals,4359,271,1560,780,0,2611,2611,
24,Douglas,Boundary Waters,4220,278,1677,664,1,2620,2620,
