index,County,Precinct,Registered Voters,Glenn T. Easterwood (Rep)_Election Day Votes,Glenn T. Easterwood (Rep)_Advanced Voting Votes,Glenn T. Easterwood (Rep)_Absentee by Mail Votes,Glenn T. Easterwood (Rep)_Provisional Votes,Glenn T. Easterwood (Rep)_Choice Total,Rita Fasina-Thomas (I) (Dem)_Election Day Votes,Rita Fasina-Thomas (I) (Dem)_Advanced Voting Votes,Rita Fasina-Thomas (I) (Dem)_Absentee by Mail Votes,Rita Fasina-Thomas (I) (Dem)_Provisional Votes,Rita Fasina-Thomas (I) (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,47,172,40,1,260,57,218,141,1,417,677,
1,Douglas,Winston,1911,11,46,14,0,71,6,13,5,1,25,96,
2,Douglas,Dog River Library,4915,410,2003,467,0,2880,96,508,369,0,973,3853,
3,Douglas,Ephesus Baptist Church,3930,560,1336,410,0,2306,109,348,258,0,715,3021,
4,Douglas,Prays Mill Gym,5459,344,1415,453,0,2212,233,836,577,0,1646,3858,
5,Douglas,Dorsett Shoals,3901,309,761,305,0,1375,186,489,388,0,1063,2438,
6,Douglas,Chapel Hill,4016,14,50,15,0,79,5,10,10,2,27,106,
7,Douglas,Church At Chapel Hill,6353,26,166,46,0,238,16,164,114,0,294,532,
8,Douglas,St Julians Episcopal,2253,28,87,32,0,147,18,51,34,0,103,250,
