index,County,Precinct,Registered Voters,Romona Jackson Jones (I) (Dem)_Election Day Votes,Romona Jackson Jones (I) (Dem)_Advanced Voting Votes,Romona Jackson Jones (I) (Dem)_Absentee by Mail Votes,Romona Jackson Jones (I) (Dem)_Provisional Votes,Romona Jackson Jones (I) (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,649,1658,1081,5,3393,3393,
1,Douglas,Winston,1911,192,496,220,0,908,908,
2,Douglas,Dog River Library,4915,259,1161,525,0,1945,1945,
3,Douglas,Atlanta West Pentecostal,4076,422,993,550,1,1966,1966,
4,Douglas,Ephesus Baptist Church,3930,340,773,388,0,1501,1501,
5,Douglas,Prays Mill Gym,5459,382,1312,741,0,2435,2435,
6,Douglas,Turner,3847,394,897,550,0,1841,1841,
7,Douglas,First Baptist Lithia Springs,1966,202,407,286,6,901,901,
8,Douglas,Lithia Springs High School,6033,407,1951,1163,1,3522,3522,
9,Douglas,Deer Lick,3042,205,778,383,1,1367,1367,
10,Douglas,Golden Methodist Church,5634,479,1691,972,3,3145,3145,
11,Douglas,Old Courthouse,5675,397,1329,803,4,2533,2533,
12,Douglas,Beulah Baptist Church,3500,333,799,443,1,1576,1576,
13,Douglas,Stewart,3208,344,917,529,1,1791,1791,
14,Douglas,Arbor Station,2990,312,785,428,9,1534,1534,
15,Douglas,Bright Star,2703,262,573,356,1,1192,1192,
16,Douglas,Dorsett Shoals,3901,363,775,497,1,1636,1636,
17,Douglas,Chapel Hill,4016,312,1357,743,6,2418,2418,
18,Douglas,Church At Chapel Hill,6353,430,2153,1063,0,3646,3646,
19,Douglas,Chestnut Log,5177,352,1253,669,5,2279,2279,
20,Douglas,St Julians Episcopal,2253,218,454,348,0,1020,1020,
21,Douglas,Lutheran Church-GS,4149,79,1296,744,1,2120,2120,
22,Douglas,First Baptist Douglasville,2478,151,695,477,0,1323,1323,
23,Douglas,Factory Shoals,4359,269,1532,764,0,2565,2565,
24,Douglas,Boundary Waters,4220,276,1668,665,1,2610,2610,
