index,County,Precinct,Registered Voters,Josh Hilton (I) (Dem)_Election Day Votes,Josh Hilton (I) (Dem)_Advanced Voting Votes,Josh Hilton (I) (Dem)_Absentee by Mail Votes,Josh Hilton (I) (Dem)_Provisional Votes,Josh Hilton (I) (Dem)_Choice Total,Total,
0,Calhoun,Leary,721,149,180,134,0,463,463,
1,Calhoun,Morgan,662,97,224,108,0,429,429,
2,Calhoun,Edison,523,85,115,70,0,270,270,
3,Calhoun,Edison-Arlington,594,112,170,88,0,370,370,
4,Calhoun,Arlington,684,126,163,131,0,420,420,
