index,County,Precinct,Registered Voters,Jackie H. Ray (I) (Dem)_Election Day Votes,Jackie H. Ray (I) (Dem)_Advanced Voting Votes,Jackie H. Ray (I) (Dem)_Absentee by Mail Votes,Jackie H. Ray (I) (Dem)_Provisional Votes,Jackie H. Ray (I) (Dem)_Choice Total,Total,
0,Calhoun,Leary,721,150,182,139,0,471,471,
1,Calhoun,Morgan,662,95,227,113,0,435,435,
2,Calhoun,Edison,523,87,118,67,0,272,272,
3,Calhoun,Edison-Arlington,594,110,169,87,0,366,366,
4,Calhoun,Arlington,684,132,165,125,0,422,422,
