index,County,Precinct,Registered Voters,Julian Holder (I) (Dem)_Election Day Votes,Julian Holder (I) (Dem)_Advanced Voting Votes,Julian Holder (I) (Dem)_Absentee by Mail Votes,Julian Holder (I) (Dem)_Provisional Votes,Julian Holder (I) (Dem)_Choice Total,Tonny L. Ingram (Dem)_Election Day Votes,Tonny L. Ingram (Dem)_Advanced Voting Votes,Tonny L. Ingram (Dem)_Absentee by Mail Votes,Tonny L. Ingram (Dem)_Provisional Votes,Tonny L. Ingram (Dem)_Choice Total,Total,
0,Calhoun,Leary,721,127,145,113,0,385,93,104,77,0,274,659,
1,Calhoun,Morgan,662,74,180,91,0,345,49,136,67,0,252,597,
2,Calhoun,Edison,523,52,96,58,0,206,55,82,35,0,172,378,
3,Calhoun,Edison-Arlington,594,78,128,56,0,262,72,94,66,0,232,494,
4,Calhoun,Arlington,684,106,121,101,0,328,95,107,80,0,282,610,
