index,County,Precinct,Registered Voters,Gerald E. Greene (I) (Rep)_Election Day Votes,Gerald E. Greene (I) (Rep)_Advanced Voting Votes,Gerald E. Greene (I) (Rep)_Absentee by Mail Votes,Gerald E. Greene (I) (Rep)_Provisional Votes,Gerald E. Greene (I) (Rep)_Choice Total,Joyce Barlow (Dem)_Election Day Votes,Joyce Barlow (Dem)_Advanced Voting Votes,Joyce Barlow (Dem)_Absentee by Mail Votes,Joyce Barlow (Dem)_Provisional Votes,Joyce Barlow (Dem)_Choice Total,Total,
0,Calhoun,Leary,721,80,117,37,0,234,85,88,105,0,278,512,
1,Calhoun,Morgan,662,88,200,64,0,352,21,60,58,0,139,491,
2,Calhoun,Edison,523,26,35,20,0,81,72,97,55,0,224,305,
3,Calhoun,Edison-Arlington,594,60,90,31,0,181,59,90,62,0,211,392,
4,Calhoun,Arlington,684,42,76,43,0,161,98,99,106,0,303,464,
