index,County,Precinct,Registered Voters,Jane Jones Ingram_Election Day Votes,Jane Jones Ingram_Advanced Voting Votes,Jane Jones Ingram_Absentee by Mail Votes,Jane Jones Ingram_Provisional Votes,Jane Jones Ingram_Choice Total,"Carl Williams, III_Election Day Votes","Carl Williams, III_Advanced Voting Votes","Carl Williams, III_Absentee by Mail Votes","Carl Williams, III_Provisional Votes","Carl Williams, III_Choice Total",Total,
0,Calhoun,Morgan,662,9,15,12,0,36,1,6,4,0,11,47,
1,Calhoun,Edison,523,66,93,64,0,223,24,28,12,0,64,287,
2,Calhoun,Edison-Arlington,594,32,33,20,0,85,8,16,1,0,25,110,
