index,County,Precinct,Registered Voters,Darien Deon Brown (Dem)_Election Day Votes,Darien Deon Brown (Dem)_Advanced Voting Votes,Darien Deon Brown (Dem)_Absentee by Mail Votes,Darien Deon Brown (Dem)_Provisional Votes,Darien Deon Brown (Dem)_Choice Total,Total,
0,Calhoun,Leary,721,140,161,133,0,434,434,
1,Calhoun,Morgan,662,83,206,100,0,389,389,
2,Calhoun,Edison,523,84,115,66,0,265,265,
3,Calhoun,Edison-Arlington,594,103,159,88,0,350,350,
4,Calhoun,Arlington,684,127,154,121,0,402,402,
