index,County,Precinct,Registered Voters,Scott C. Chastain (I) (Rep)_Election Day Votes,Scott C. Chastain (I) (Rep)_Advanced Voting Votes,Scott C. Chastain (I) (Rep)_Absentee by Mail Votes,Scott C. Chastain (I) (Rep)_Provisional Votes,Scott C. Chastain (I) (Rep)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,393,1181,388,2,1964,1964,
1,Gilmer,Cartecay,1598,408,492,201,2,1103,1103,
2,Gilmer,Tails Creek,1782,469,474,146,0,1089,1089,
3,Gilmer,Town Creek,1234,322,341,107,0,770,770,
4,Gilmer,Leaches,2939,557,985,341,2,1885,1885,
5,Gilmer,Cherry Log,926,268,241,116,0,625,625,
6,Gilmer,Boardtown,1391,302,509,204,3,1018,1018,
7,Gilmer,Mountaintown,1139,278,369,129,1,777,777,
8,Gilmer,East Ellijay,1655,254,640,222,0,1116,1116,
9,Gilmer,Ellijay North,1810,291,615,204,1,1111,1111,
10,Gilmer,Yukon,1288,366,362,124,0,852,852,
11,Gilmer,Big Creek,1479,376,413,196,0,985,985,
12,Gilmer,Ellijay Northeast,1851,240,718,228,0,1186,1186,
