index,County,Precinct,Registered Voters,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,391,1163,390,2,1946,1946,
1,Gilmer,Cartecay,1598,402,474,200,2,1078,1078,
2,Gilmer,Tails Creek,1782,459,470,146,0,1075,1075,
3,Gilmer,Town Creek,1234,317,334,107,0,758,758,
4,Gilmer,Leaches,2939,544,976,341,2,1863,1863,
5,Gilmer,Cherry Log,926,268,239,119,0,626,626,
6,Gilmer,Boardtown,1391,305,508,209,3,1025,1025,
7,Gilmer,Mountaintown,1139,277,365,132,1,775,775,
8,Gilmer,East Ellijay,1655,246,639,221,0,1106,1106,
9,Gilmer,Ellijay North,1810,289,605,201,1,1096,1096,
10,Gilmer,Yukon,1288,357,359,122,0,838,838,
11,Gilmer,Big Creek,1479,372,409,194,0,975,975,
12,Gilmer,Ellijay Northeast,1851,237,715,223,0,1175,1175,
