index,County,Precinct,Registered Voters,David Ralston (I) (Rep)_Election Day Votes,David Ralston (I) (Rep)_Advanced Voting Votes,David Ralston (I) (Rep)_Absentee by Mail Votes,David Ralston (I) (Rep)_Provisional Votes,David Ralston (I) (Rep)_Choice Total,Rick D. Day (Dem)_Election Day Votes,Rick D. Day (Dem)_Advanced Voting Votes,Rick D. Day (Dem)_Absentee by Mail Votes,Rick D. Day (Dem)_Provisional Votes,Rick D. Day (Dem)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,353,1082,317,2,1754,61,184,205,0,450,2204,
1,Gilmer,Cartecay,1598,397,459,170,2,1028,22,57,79,0,158,1186,
2,Gilmer,Tails Creek,1782,448,450,134,0,1032,42,61,47,0,150,1182,
3,Gilmer,Town Creek,1234,300,323,100,0,723,31,26,38,0,95,818,
4,Gilmer,Leaches,2939,525,899,303,2,1729,51,166,147,0,364,2093,
5,Gilmer,Cherry Log,926,246,205,103,0,554,42,67,57,0,166,720,
6,Gilmer,Boardtown,1391,283,477,172,4,936,31,62,96,0,189,1125,
7,Gilmer,Mountaintown,1139,262,340,117,1,720,25,56,41,0,122,842,
8,Gilmer,East Ellijay,1655,230,592,196,0,1018,34,88,55,0,177,1195,
9,Gilmer,Ellijay North,1810,290,575,188,1,1054,21,91,54,0,166,1220,
10,Gilmer,Yukon,1288,345,332,112,0,789,27,47,49,0,123,912,
11,Gilmer,Big Creek,1479,369,398,165,0,932,27,54,87,0,168,1100,
12,Gilmer,Ellijay Northeast,1851,234,664,198,0,1096,13,114,111,0,238,1334,
