index,County,Precinct,Registered Voters,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_Choice Total,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,358,1066,316,2,1742,55,194,218,0,467,2209,
1,Gilmer,Cartecay,1598,399,460,173,2,1034,22,58,81,0,161,1195,
2,Gilmer,Tails Creek,1782,433,454,131,0,1018,51,60,47,0,158,1176,
3,Gilmer,Town Creek,1234,296,321,91,0,708,30,25,49,0,104,812,
4,Gilmer,Leaches,2939,525,901,297,2,1725,47,168,160,0,375,2100,
5,Gilmer,Cherry Log,926,241,209,95,0,545,46,63,63,0,172,717,
6,Gilmer,Boardtown,1391,290,478,170,3,941,24,64,107,1,196,1137,
7,Gilmer,Mountaintown,1139,266,342,115,1,724,22,59,41,0,122,846,
8,Gilmer,East Ellijay,1655,227,592,192,0,1011,30,99,67,0,196,1207,
9,Gilmer,Ellijay North,1810,280,558,180,1,1019,23,104,69,0,196,1215,
10,Gilmer,Yukon,1288,347,337,111,0,795,25,43,52,0,120,915,
11,Gilmer,Big Creek,1479,361,389,151,0,901,31,61,103,0,195,1096,
12,Gilmer,Ellijay Northeast,1851,237,661,184,0,1082,17,117,124,0,258,1340,
