index,County,Precinct,Registered Voters,"Rebecca """"Becky"""" Marshall (I) (Rep)_Election Day Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Advanced Voting Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Absentee by Mail Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Provisional Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Choice Total",Total,
0,Gilmer,Ellijay South,3172,386,1178,395,2,1961,1961,
1,Gilmer,Cartecay,1598,408,482,203,2,1095,1095,
2,Gilmer,Tails Creek,1782,462,484,149,0,1095,1095,
3,Gilmer,Town Creek,1234,318,328,109,0,755,755,
4,Gilmer,Leaches,2939,547,983,353,2,1885,1885,
5,Gilmer,Cherry Log,926,258,240,124,0,622,622,
6,Gilmer,Boardtown,1391,289,511,209,3,1012,1012,
7,Gilmer,Mountaintown,1139,272,372,132,1,777,777,
8,Gilmer,East Ellijay,1655,245,643,220,0,1108,1108,
9,Gilmer,Ellijay North,1810,288,609,203,1,1101,1101,
10,Gilmer,Yukon,1288,359,362,128,0,849,849,
11,Gilmer,Big Creek,1479,373,418,201,0,992,992,
12,Gilmer,Ellijay Northeast,1851,235,727,236,0,1198,1198,
