index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,360,1074,288,2,1724,55,199,221,0,475,8,20,16,0,44,2243,
1,Gilmer,Cartecay,1598,400,467,173,2,1042,19,59,75,0,153,10,10,5,0,25,1220,
2,Gilmer,Tails Creek,1782,432,443,125,0,1000,46,66,45,0,157,19,13,6,0,38,1195,
3,Gilmer,Town Creek,1234,291,326,86,0,703,41,27,49,0,117,12,6,6,0,24,844,
4,Gilmer,Leaches,2939,515,892,293,2,1702,52,176,144,1,373,25,20,11,0,56,2131,
5,Gilmer,Cherry Log,926,246,209,104,0,559,39,62,55,0,156,11,3,1,0,15,730,
6,Gilmer,Boardtown,1391,288,480,164,3,935,33,66,99,0,198,10,6,10,1,27,1160,
7,Gilmer,Mountaintown,1139,258,337,105,1,701,31,64,41,0,136,6,7,8,0,21,858,
8,Gilmer,East Ellijay,1655,235,596,194,0,1025,32,101,60,0,193,7,11,2,0,20,1238,
9,Gilmer,Ellijay North,1810,287,567,171,1,1026,23,103,68,0,194,7,23,7,0,37,1257,
10,Gilmer,Yukon,1288,354,341,104,0,799,24,44,57,0,125,8,7,5,0,20,944,
11,Gilmer,Big Creek,1479,360,389,148,0,897,28,63,98,0,189,12,12,9,0,33,1119,
12,Gilmer,Ellijay Northeast,1851,245,666,182,0,1093,12,121,116,0,249,5,13,8,0,26,1368,
