index,County,Precinct,Registered Voters,Jerry B. Hensley (I) (Rep)_Election Day Votes,Jerry B. Hensley (I) (Rep)_Advanced Voting Votes,Jerry B. Hensley (I) (Rep)_Absentee by Mail Votes,Jerry B. Hensley (I) (Rep)_Provisional Votes,Jerry B. Hensley (I) (Rep)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,395,1177,393,2,1967,1967,
1,Gilmer,Cartecay,1598,406,483,206,2,1097,1097,
2,Gilmer,Tails Creek,1782,467,481,147,0,1095,1095,
3,Gilmer,Town Creek,1234,314,334,111,0,759,759,
4,Gilmer,Leaches,2939,553,973,349,2,1877,1877,
5,Gilmer,Cherry Log,926,260,239,119,0,618,618,
6,Gilmer,Boardtown,1391,293,513,207,3,1016,1016,
7,Gilmer,Mountaintown,1139,277,371,131,1,780,780,
8,Gilmer,East Ellijay,1655,252,636,220,0,1108,1108,
9,Gilmer,Ellijay North,1810,284,616,210,1,1111,1111,
10,Gilmer,Yukon,1288,359,360,123,0,842,842,
11,Gilmer,Big Creek,1479,374,414,192,0,980,980,
12,Gilmer,Ellijay Northeast,1851,237,716,230,0,1183,1183,
