index,County,Precinct,Registered Voters,Lannie E. Brant (I) (Rep)_Election Day Votes,Lannie E. Brant (I) (Rep)_Advanced Voting Votes,Lannie E. Brant (I) (Rep)_Absentee by Mail Votes,Lannie E. Brant (I) (Rep)_Provisional Votes,Lannie E. Brant (I) (Rep)_Choice Total,Kevin M. Walker (Dem)_Election Day Votes,Kevin M. Walker (Dem)_Advanced Voting Votes,Kevin M. Walker (Dem)_Absentee by Mail Votes,Kevin M. Walker (Dem)_Provisional Votes,Kevin M. Walker (Dem)_Choice Total,Total,
0,Camden,Tarboro,979,191,192,60,0,443,75,77,77,0,229,672,
1,Camden,Waverly,1530,258,446,149,0,853,83,120,151,0,354,1207,
2,Camden,Woodbine,1973,232,427,97,1,757,115,279,197,0,591,1348,
3,Camden,North Kingsland,2599,96,240,44,0,380,95,288,174,0,557,937,
4,Camden,East Kingsland,6866,81,326,63,0,470,35,173,69,0,277,747,
