index,County,Precinct,Registered Voters,Ben L. Casey (I) (Rep)_Election Day Votes,Ben L. Casey (I) (Rep)_Advanced Voting Votes,Ben L. Casey (I) (Rep)_Absentee by Mail Votes,Ben L. Casey (I) (Rep)_Provisional Votes,Ben L. Casey (I) (Rep)_Choice Total,Total,
0,Camden,Browntown,698,131,223,61,0,415,415,
1,Camden,West Kingsland,2782,345,1034,231,0,1610,1610,
2,Camden,North Kingsland,2599,109,302,67,0,478,478,
3,Camden,Kingsland,2274,221,627,160,0,1008,1008,
