index,County,Precinct,Registered Voters,Nathan Floyd_Election Day Votes,Nathan Floyd_Advanced Voting Votes,Nathan Floyd_Absentee by Mail Votes,Nathan Floyd_Provisional Votes,Nathan Floyd_Choice Total,Cheryl Honeycutt_Election Day Votes,Cheryl Honeycutt_Advanced Voting Votes,Cheryl Honeycutt_Absentee by Mail Votes,Cheryl Honeycutt_Provisional Votes,Cheryl Honeycutt_Choice Total,Lisa A. James_Election Day Votes,Lisa A. James_Advanced Voting Votes,Lisa A. James_Absentee by Mail Votes,Lisa A. James_Provisional Votes,Lisa A. James_Choice Total,Total,
0,Camden,North St Marys,2095,72,162,40,0,274,46,95,43,0,184,59,117,42,1,219,677,
1,Camden,St Marys,3218,200,415,102,0,717,101,252,110,0,463,118,311,163,0,592,1772,
2,Camden,South St Marys,2139,92,338,74,2,506,29,124,78,0,231,40,222,152,0,414,1151,
3,Camden,Mush Bluff,2816,137,303,66,1,507,79,212,88,0,379,74,238,102,0,414,1300,
4,Camden,West St Marys,3147,124,763,204,0,1091,55,267,144,0,466,60,336,227,0,623,2180,
