index,County,Precinct,Registered Voters,Joy Lynn Turner (I) (Rep)_Election Day Votes,Joy Lynn Turner (I) (Rep)_Advanced Voting Votes,Joy Lynn Turner (I) (Rep)_Absentee by Mail Votes,Joy Lynn Turner (I) (Rep)_Provisional Votes,Joy Lynn Turner (I) (Rep)_Choice Total,Total,
0,Camden,Tarboro,979,241,241,97,0,579,579,
1,Camden,Waverly,1530,303,509,209,0,1021,1021,
2,Camden,Woodbine,1973,302,580,185,1,1068,1068,
3,Camden,Browntown,698,128,223,66,0,417,417,
4,Camden,Harrietts Bluff,1834,388,668,170,0,1226,1226,
5,Camden,West Kingsland,2782,348,1044,229,0,1621,1621,
6,Camden,North Kingsland,2599,253,663,209,0,1125,1125,
7,Camden,Kingsland,2274,224,646,165,0,1035,1035,
8,Camden,East Kingsland,6866,623,2407,668,0,3698,3698,
9,Camden,North St Marys,2095,217,413,128,0,758,758,
10,Camden,St Marys,3218,439,967,296,0,1702,1702,
11,Camden,South St Marys,2139,240,767,278,2,1287,1287,
12,Camden,Mush Bluff,2816,367,1008,291,1,1667,1667,
13,Camden,West St Marys,3147,256,1374,517,0,2147,2147,
