index,County,Precinct,Registered Voters,Jerre Brumbelow_Election Day Votes,Jerre Brumbelow_Advanced Voting Votes,Jerre Brumbelow_Absentee by Mail Votes,Jerre Brumbelow_Provisional Votes,Jerre Brumbelow_Choice Total,John F. Morrissey (I)_Election Day Votes,John F. Morrissey (I)_Advanced Voting Votes,John F. Morrissey (I)_Absentee by Mail Votes,John F. Morrissey (I)_Provisional Votes,John F. Morrissey (I)_Choice Total,Total,
0,Camden,North St Marys,2095,93,200,51,0,344,89,174,74,1,338,682,
1,Camden,St Marys,3218,226,506,158,0,890,207,506,233,0,946,1836,
2,Camden,South St Marys,2139,117,438,137,1,693,57,295,195,1,548,1241,
3,Camden,Mush Bluff,2816,142,333,125,0,600,148,427,139,1,715,1315,
4,Camden,West St Marys,3147,142,697,179,0,1018,114,778,467,0,1359,2377,
