index,County,Precinct,Registered Voters,Jay Moreno_Election Day Votes,Jay Moreno_Advanced Voting Votes,Jay Moreno_Absentee by Mail Votes,Jay Moreno_Provisional Votes,Jay Moreno_Choice Total,Allen Rassi (I)_Election Day Votes,Allen Rassi (I)_Advanced Voting Votes,Allen Rassi (I)_Absentee by Mail Votes,Allen Rassi (I)_Provisional Votes,Allen Rassi (I)_Choice Total,Cody Smith_Election Day Votes,Cody Smith_Advanced Voting Votes,Cody Smith_Absentee by Mail Votes,Cody Smith_Provisional Votes,Cody Smith_Choice Total,Total,
0,Camden,North St Marys,2095,43,81,20,0,144,56,172,66,1,295,84,128,35,0,247,686,
1,Camden,St Marys,3218,108,274,83,0,465,156,445,161,0,762,174,282,139,0,595,1822,
2,Camden,South St Marys,2139,47,146,51,0,244,66,346,178,2,592,55,220,85,0,360,1196,
3,Camden,Mush Bluff,2816,73,196,63,0,332,118,354,110,0,582,103,217,86,1,407,1321,
4,Camden,West St Marys,3147,52,274,80,0,406,119,815,395,0,1329,79,325,143,0,547,2282,
