index,County,Precinct,Registered Voters,David Jenkins (Rep)_Election Day Votes,David Jenkins (Rep)_Advanced Voting Votes,David Jenkins (Rep)_Absentee by Mail Votes,David Jenkins (Rep)_Provisional Votes,David Jenkins (Rep)_Choice Total,"Bob Trammell, Jr. (I) (Dem)_Election Day Votes","Bob Trammell, Jr. (I) (Dem)_Advanced Voting Votes","Bob Trammell, Jr. (I) (Dem)_Absentee by Mail Votes","Bob Trammell, Jr. (I) (Dem)_Provisional Votes","Bob Trammell, Jr. (I) (Dem)_Choice Total",Total,
0,Coweta,Pine Road,2095,544,496,228,0,1268,57,102,104,0,263,1531,
1,Coweta,Grantville,2572,663,360,169,1,1193,221,148,185,0,554,1747,
2,Coweta,Smokey Road,2559,402,336,178,0,916,243,261,277,1,782,1698,
3,Coweta,Central,4395,157,194,92,0,443,377,419,373,1,1170,1613,
