index,County,Precinct,Registered Voters,Cindy G. Brown (I) (Rep)_Election Day Votes,Cindy G. Brown (I) (Rep)_Advanced Voting Votes,Cindy G. Brown (I) (Rep)_Absentee by Mail Votes,Cindy G. Brown (I) (Rep)_Provisional Votes,Cindy G. Brown (I) (Rep)_Choice Total,Total,
0,Coweta,Senoia,5838,1111,2003,841,1,3956,3956,
1,Coweta,Moreland,2758,965,634,368,0,1967,1967,
2,Coweta,Pine Road,2095,572,538,276,0,1386,1386,
3,Coweta,Dresden,839,366,121,89,0,576,576,
4,Coweta,Newnan,3478,513,579,424,0,1516,1516,
5,Coweta,Sharpsburg,4526,935,1632,505,1,3073,3073,
6,Coweta,Fischer Road,4328,774,1523,630,2,2929,2929,
7,Coweta,Cedar Creek,5330,1061,1781,851,0,3693,3693,
8,Coweta,Grantville,2572,798,437,256,1,1492,1492,
9,Coweta,Haralson,2339,832,537,255,0,1624,1624,
10,Coweta,Welcome,3212,1132,553,398,0,2083,2083,
11,Coweta,Panther Creek,3028,953,578,374,0,1905,1905,
12,Coweta,Raymond,2492,668,720,329,0,1717,1717,
13,Coweta,Turin,4477,1123,1492,581,0,3196,3196,
14,Coweta,Smokey Road,2559,536,481,313,1,1331,1331,
15,Coweta,Central,4395,529,685,392,3,1609,1609,
16,Coweta,Newnan Centre,20465,2764,6012,2790,1,11567,11567,
17,Coweta,Greentop,2846,594,594,454,0,1642,1642,
18,Coweta,Expo Center,1974,552,420,325,0,1297,1297,
19,Coweta,White Oak,4636,821,1495,564,1,2881,2881,
20,Coweta,Madras,4462,836,1383,680,2,2901,2901,
21,Coweta,Cannongate,3653,890,1172,495,0,2557,2557,
22,Coweta,Westside,838,177,93,90,0,360,360,
23,Coweta,Northside,2285,649,434,344,0,1427,1427,
24,Coweta,Thomas Crossroads,4962,925,1838,579,0,3342,3342,
25,Coweta,Coweta Central Library,1723,319,673,208,0,1200,1200,
