index,County,Precinct,Registered Voters,"William E. """"Bill"""" Cline (I)_Election Day Votes","William E. """"Bill"""" Cline (I)_Advanced Voting Votes","William E. """"Bill"""" Cline (I)_Absentee by Mail Votes","William E. """"Bill"""" Cline (I)_Provisional Votes","William E. """"Bill"""" Cline (I)_Choice Total",Total,
0,Coweta,Senoia,5838,1052,1920,856,1,3829,3829,
1,Coweta,Moreland,2758,913,613,360,0,1886,1886,
2,Coweta,Pine Road,2095,534,524,288,0,1346,1346,
3,Coweta,Dresden,839,360,115,87,0,562,562,
4,Coweta,Newnan,3478,494,553,444,0,1491,1491,
5,Coweta,Sharpsburg,4526,892,1566,494,1,2953,2953,
6,Coweta,Fischer Road,4328,754,1469,632,2,2857,2857,
7,Coweta,Cedar Creek,5330,1034,1714,828,0,3576,3576,
8,Coweta,Grantville,2572,764,416,262,1,1443,1443,
9,Coweta,Haralson,2339,790,512,253,0,1555,1555,
10,Coweta,Welcome,3212,1089,537,396,0,2022,2022,
11,Coweta,Panther Creek,3028,909,556,378,0,1843,1843,
12,Coweta,Raymond,2492,651,679,326,0,1656,1656,
13,Coweta,Turin,4477,1074,1429,563,0,3066,3066,
14,Coweta,Smokey Road,2559,528,461,321,1,1311,1311,
15,Coweta,Central,4395,516,667,398,5,1586,1586,
16,Coweta,Newnan Centre,20465,2700,5820,2844,1,11365,11365,
17,Coweta,Greentop,2846,585,594,457,0,1636,1636,
18,Coweta,Expo Center,1974,543,414,328,0,1285,1285,
19,Coweta,White Oak,4636,794,1449,563,1,2807,2807,
20,Coweta,Madras,4462,804,1339,676,3,2822,2822,
21,Coweta,Cannongate,3653,850,1121,496,0,2467,2467,
22,Coweta,Westside,838,171,90,90,0,351,351,
23,Coweta,Northside,2285,642,433,349,0,1424,1424,
24,Coweta,Thomas Crossroads,4962,873,1774,596,0,3243,3243,
25,Coweta,Coweta Central Library,1723,304,637,202,0,1143,1143,
