index,County,Precinct,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,
0,Coweta,Senoia,5838,1107,1997,835,1,3940,3940,
1,Coweta,Moreland,2758,963,631,360,0,1954,1954,
2,Coweta,Pine Road,2095,571,540,281,0,1392,1392,
3,Coweta,Dresden,839,362,122,89,0,573,573,
4,Coweta,Newnan,3478,499,576,412,0,1487,1487,
5,Coweta,Sharpsburg,4526,933,1629,506,1,3069,3069,
6,Coweta,Fischer Road,4328,776,1523,626,2,2927,2927,
7,Coweta,Cedar Creek,5330,1067,1780,852,0,3699,3699,
8,Coweta,Grantville,2572,803,429,258,1,1491,1491,
9,Coweta,Haralson,2339,825,534,257,0,1616,1616,
10,Coweta,Welcome,3212,1129,548,390,0,2067,2067,
11,Coweta,Panther Creek,3028,942,573,370,0,1885,1885,
12,Coweta,Raymond,2492,672,713,333,0,1718,1718,
13,Coweta,Turin,4477,1117,1490,581,0,3188,3188,
14,Coweta,Smokey Road,2559,530,474,304,1,1309,1309,
15,Coweta,Central,4395,523,691,395,3,1612,1612,
16,Coweta,Newnan Centre,20465,2742,5992,2773,1,11508,11508,
17,Coweta,Greentop,2846,594,595,462,0,1651,1651,
18,Coweta,Expo Center,1974,551,420,332,0,1303,1303,
19,Coweta,White Oak,4636,817,1486,563,1,2867,2867,
20,Coweta,Madras,4462,841,1382,677,2,2902,2902,
21,Coweta,Cannongate,3653,885,1167,496,0,2548,2548,
22,Coweta,Westside,838,180,93,87,0,360,360,
23,Coweta,Northside,2285,642,432,344,0,1418,1418,
24,Coweta,Thomas Crossroads,4962,916,1830,583,0,3329,3329,
25,Coweta,Coweta Central Library,1723,316,668,207,0,1191,1191,
