index,County,Precinct,Registered Voters,Al Smith (I) (Dem)_Election Day Votes,Al Smith (I) (Dem)_Advanced Voting Votes,Al Smith (I) (Dem)_Absentee by Mail Votes,Al Smith (I) (Dem)_Provisional Votes,Al Smith (I) (Dem)_Choice Total,Total,
0,Coweta,Newnan,3478,509,625,587,0,1721,1721,
1,Coweta,Smokey Road,2559,100,82,61,1,244,244,
2,Coweta,Central,4395,548,712,493,5,1758,1758,
3,Coweta,Newnan Centre,20465,1233,2417,1390,1,5041,5041,
4,Coweta,Westside,838,219,112,119,0,450,450,
