index,County,Precinct,Registered Voters,Lynn Smith (I) (Rep)_Election Day Votes,Lynn Smith (I) (Rep)_Advanced Voting Votes,Lynn Smith (I) (Rep)_Absentee by Mail Votes,Lynn Smith (I) (Rep)_Provisional Votes,Lynn Smith (I) (Rep)_Choice Total,Total,
0,Coweta,Dresden,839,363,122,86,0,571,571,
1,Coweta,Newnan,3478,499,563,411,0,1473,1473,
2,Coweta,Cedar Creek,5330,1067,1781,862,0,3710,3710,
3,Coweta,Welcome,3212,1128,550,400,0,2078,2078,
4,Coweta,Panther Creek,3028,951,574,367,0,1892,1892,
5,Coweta,Central,4395,155,287,121,2,565,565,
6,Coweta,Newnan Centre,20465,1990,4311,2120,2,8423,8423,
7,Coweta,Greentop,2846,592,586,458,0,1636,1636,
8,Coweta,Expo Center,1974,545,424,330,0,1299,1299,
9,Coweta,Westside,838,174,91,85,0,350,350,
10,Coweta,Northside,2285,649,428,348,0,1425,1425,
