index,County,Precinct,Registered Voters,Lenn Wood (I) (Rep)_Election Day Votes,Lenn Wood (I) (Rep)_Advanced Voting Votes,Lenn Wood (I) (Rep)_Absentee by Mail Votes,Lenn Wood (I) (Rep)_Provisional Votes,Lenn Wood (I) (Rep)_Choice Total,Total,
0,Coweta,Senoia,5838,1120,2023,852,1,3996,3996,
1,Coweta,Moreland,2758,977,640,374,0,1991,1991,
2,Coweta,Pine Road,2095,573,543,286,0,1402,1402,
3,Coweta,Dresden,839,363,124,89,0,576,576,
4,Coweta,Newnan,3478,519,605,451,0,1575,1575,
5,Coweta,Sharpsburg,4526,944,1643,524,1,3112,3112,
6,Coweta,Fischer Road,4328,776,1534,633,2,2945,2945,
7,Coweta,Cedar Creek,5330,1075,1798,865,0,3738,3738,
8,Coweta,Grantville,2572,815,440,268,1,1524,1524,
9,Coweta,Haralson,2339,834,540,256,0,1630,1630,
10,Coweta,Welcome,3212,1142,555,402,0,2099,2099,
11,Coweta,Panther Creek,3028,958,581,388,0,1927,1927,
12,Coweta,Raymond,2492,675,725,344,0,1744,1744,
13,Coweta,Turin,4477,1130,1506,591,0,3227,3227,
14,Coweta,Smokey Road,2559,543,489,325,1,1358,1358,
15,Coweta,Central,4395,541,724,416,3,1684,1684,
16,Coweta,Newnan Centre,20465,2774,6068,2834,1,11677,11677,
17,Coweta,Greentop,2846,598,595,470,0,1663,1663,
18,Coweta,Expo Center,1974,560,429,340,0,1329,1329,
19,Coweta,White Oak,4636,823,1502,574,1,2900,2900,
20,Coweta,Madras,4462,844,1393,684,2,2923,2923,
21,Coweta,Cannongate,3653,889,1165,499,0,2553,2553,
22,Coweta,Westside,838,189,99,92,0,380,380,
23,Coweta,Northside,2285,660,439,359,0,1458,1458,
24,Coweta,Thomas Crossroads,4962,922,1843,588,0,3353,3353,
25,Coweta,Coweta Central Library,1723,317,674,211,0,1202,1202,
