index,County,Precinct,Registered Voters,John J. Reidelbach (Rep)_Election Day Votes,John J. Reidelbach (Rep)_Advanced Voting Votes,John J. Reidelbach (Rep)_Absentee by Mail Votes,John J. Reidelbach (Rep)_Provisional Votes,John J. Reidelbach (Rep)_Choice Total,Pearl Presley (Dem)_Election Day Votes,Pearl Presley (Dem)_Advanced Voting Votes,Pearl Presley (Dem)_Absentee by Mail Votes,Pearl Presley (Dem)_Provisional Votes,Pearl Presley (Dem)_Choice Total,Total,
0,Coweta,Fischer Road,4328,502,1051,397,0,1950,97,275,269,2,643,2593,
1,Coweta,Newnan Centre,20465,408,1110,502,0,2020,133,391,337,0,861,2881,
2,Coweta,White Oak,4636,693,1308,420,1,2422,211,431,340,0,982,3404,
3,Coweta,Cannongate,3653,816,1045,429,0,2290,108,254,206,0,568,2858,
4,Coweta,Thomas Crossroads,4962,826,1666,492,0,2984,150,362,264,0,776,3760,
