index,County,Precinct,Registered Voters,Philip Singleton (I) (Rep)_Election Day Votes,Philip Singleton (I) (Rep)_Advanced Voting Votes,Philip Singleton (I) (Rep)_Absentee by Mail Votes,Philip Singleton (I) (Rep)_Provisional Votes,Philip Singleton (I) (Rep)_Choice Total,Jill_Election Day Votes,Jill_Advanced Voting Votes,Jill_Absentee by Mail Votes,Jill_Provisional Votes,Jill_Choice Total,Total,
0,Coweta,Moreland,2758,908,585,306,0,1799,109,92,170,0,371,2170,
1,Coweta,Sharpsburg,4526,871,1483,438,1,2793,123,308,247,0,678,3471,
2,Coweta,Fischer Road,4328,689,1346,482,0,2517,143,352,345,2,842,3359,
3,Coweta,Raymond,2492,611,650,250,0,1511,93,131,146,0,370,1881,
4,Coweta,Turin,4477,550,645,234,0,1429,109,197,164,0,470,1899,
5,Coweta,Newnan Centre,20465,613,1364,480,0,2457,226,680,516,0,1422,3879,
6,Coweta,White Oak,4636,700,1317,410,1,2428,204,429,373,0,1006,3434,
7,Coweta,Madras,4462,734,1148,506,0,2388,179,497,420,4,1100,3488,
8,Coweta,Cannongate,3653,818,1043,421,0,2282,112,257,225,0,594,2876,
9,Coweta,Thomas Crossroads,4962,848,1670,466,0,2984,149,374,302,0,825,3809,
10,Coweta,Coweta Central Library,1723,280,610,161,0,1051,60,143,102,0,305,1356,
