index,County,Precinct,Registered Voters,Brenda Williams (I) (Rep)_Election Day Votes,Brenda Williams (I) (Rep)_Advanced Voting Votes,Brenda Williams (I) (Rep)_Absentee by Mail Votes,Brenda Williams (I) (Rep)_Provisional Votes,Brenda Williams (I) (Rep)_Choice Total,Total,
0,Toombs,15361 Lyons,0,397,1232,346,1,1976,1976,
1,Toombs,39 Newbranch,0,332,509,133,0,974,974,
2,Toombs,43 Cedar Crossing,0,349,439,112,0,900,900,
3,Toombs,513 VPD,0,626,2047,700,4,3377,3377,
4,Toombs,514 STIALC,0,436,1253,416,3,2108,2108,
