index,County,Precinct,Registered Voters,Ronald V. Hall (I) (Rep)_Election Day Votes,Ronald V. Hall (I) (Rep)_Advanced Voting Votes,Ronald V. Hall (I) (Rep)_Absentee by Mail Votes,Ronald V. Hall (I) (Rep)_Provisional Votes,Ronald V. Hall (I) (Rep)_Choice Total,Total,
0,Toombs,15361 Lyons,0,401,1264,352,1,2018,2018,
1,Toombs,39 Newbranch,0,335,514,133,0,982,982,
2,Toombs,43 Cedar Crossing,0,361,451,115,0,927,927,
3,Toombs,513 VPD,0,633,2070,706,4,3413,3413,
4,Toombs,514 STIALC,0,444,1291,431,3,2169,2169,
