index,County,Precinct,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,
0,Toombs,15361 Lyons,0,388,1213,334,0,1935,1935,
1,Toombs,39 Newbranch,0,327,505,131,0,963,963,
2,Toombs,43 Cedar Crossing,0,354,446,114,0,914,914,
3,Toombs,513 VPD,0,626,2008,654,4,3292,3292,
4,Toombs,514 STIALC,0,420,1229,395,3,2047,2047,
