index,County,Precinct,Registered Voters,Alvie Junior Kight (I) (Rep)_Election Day Votes,Alvie Junior Kight (I) (Rep)_Advanced Voting Votes,Alvie Junior Kight (I) (Rep)_Absentee by Mail Votes,Alvie Junior Kight (I) (Rep)_Provisional Votes,Alvie Junior Kight (I) (Rep)_Choice Total,Total,
0,Toombs,15361 Lyons,0,397,1233,350,1,1981,1981,
1,Toombs,39 Newbranch,0,325,502,132,0,959,959,
2,Toombs,43 Cedar Crossing,0,350,443,112,0,905,905,
3,Toombs,513 VPD,0,632,2049,688,4,3373,3373,
4,Toombs,514 STIALC,0,448,1253,418,3,2122,2122,
