index,County,Precinct,Registered Voters,Justin D. Franklin (I) (Rep)_Election Day Votes,Justin D. Franklin (I) (Rep)_Advanced Voting Votes,Justin D. Franklin (I) (Rep)_Absentee by Mail Votes,Justin D. Franklin (I) (Rep)_Provisional Votes,Justin D. Franklin (I) (Rep)_Choice Total,Total,
0,Toombs,15361 Lyons,0,384,1199,334,0,1917,1917,
1,Toombs,39 Newbranch,0,327,497,125,0,949,949,
2,Toombs,43 Cedar Crossing,0,352,440,112,0,904,904,
3,Toombs,513 VPD,0,613,1982,659,3,3257,3257,
4,Toombs,514 STIALC,0,419,1230,390,3,2042,2042,
