index,County,Precinct,Registered Voters,Gregory Johnson_Election Day Votes,Gregory Johnson_Advanced Voting Votes,Gregory Johnson_Absentee by Mail Votes,Gregory Johnson_Provisional Votes,Gregory Johnson_Choice Total,"Doug P. Roper, III_Election Day Votes","Doug P. Roper, III_Advanced Voting Votes","Doug P. Roper, III_Absentee by Mail Votes","Doug P. Roper, III_Provisional Votes","Doug P. Roper, III_Choice Total",Total,
0,Toombs,513 VPD,0,244,597,392,1,1234,264,987,354,2,1607,2841,
1,Toombs,514 STIALC,0,163,321,274,2,760,121,419,113,0,653,1413,
