index,County,Precinct,Registered Voters,Carolyn V. Sullivan (I) (Rep)_Election Day Votes,Carolyn V. Sullivan (I) (Rep)_Advanced Voting Votes,Carolyn V. Sullivan (I) (Rep)_Absentee by Mail Votes,Carolyn V. Sullivan (I) (Rep)_Provisional Votes,Carolyn V. Sullivan (I) (Rep)_Choice Total,Angela King Anderson (Dem)_Election Day Votes,Angela King Anderson (Dem)_Advanced Voting Votes,Angela King Anderson (Dem)_Absentee by Mail Votes,Angela King Anderson (Dem)_Provisional Votes,Angela King Anderson (Dem)_Choice Total,Total,
0,Houston,ANNX,4512,474,1203,576,5,2258,170,460,500,1,1131,3389,
1,Houston,BMS,9536,1330,2498,1085,1,4914,390,1168,964,2,2524,7438,
2,Houston,CENT,7795,924,1515,744,1,3184,433,995,815,2,2245,5429,
3,Houston,CGTC,4860,519,1307,438,4,2268,191,660,477,0,1328,3596,
4,Houston,FMMS,8767,1059,1842,638,1,3540,517,1396,937,2,2852,6392,
5,Houston,HAFS,1805,610,348,117,0,1075,102,78,93,1,274,1349,
6,Houston,HCTC,6361,526,954,513,1,1994,445,817,647,4,1913,3907,
7,Houston,HEFS,1372,338,254,99,4,695,152,81,98,4,335,1030,
8,Houston,HHPC,9610,698,1458,779,3,2938,649,1219,1092,4,2964,5902,
9,Houston,MCMS,9181,1094,2441,788,7,4330,371,1282,871,2,2526,6856,
10,Houston,NSES,2441,378,489,265,1,1133,140,251,255,0,646,1779,
11,Houston,RECR,9277,314,507,294,5,1120,992,1417,1362,8,3779,4899,
12,Houston,ROZR,13802,1480,3687,1284,4,6455,686,1500,1124,5,3315,9770,
13,Houston,TMS,5286,436,692,373,5,1506,463,911,687,2,2063,3569,
14,Houston,TWPK,4415,618,890,422,1,1931,268,578,418,3,1267,3198,
15,Houston,VHS,6295,971,1760,492,4,3227,268,735,470,0,1473,4700,
