index,County,Precinct,Registered Voters,Amy E. Smith (I) (Rep)_Election Day Votes,Amy E. Smith (I) (Rep)_Advanced Voting Votes,Amy E. Smith (I) (Rep)_Absentee by Mail Votes,Amy E. Smith (I) (Rep)_Provisional Votes,Amy E. Smith (I) (Rep)_Choice Total,Total,
0,Houston,ANNX,4512,581,1438,789,4,2812,2812,
1,Houston,BMS,9536,1561,3116,1465,2,6144,6144,
2,Houston,CENT,7795,1188,2014,1052,1,4255,4255,
3,Houston,CGTC,4860,633,1644,607,4,2888,2888,
4,Houston,FMMS,8767,1384,2548,1004,2,4938,4938,
5,Houston,HAFS,1805,665,369,151,1,1186,1186,
6,Houston,HCTC,6361,792,1395,773,4,2964,2964,
7,Houston,HEFS,1372,399,296,142,7,844,844,
8,Houston,HHPC,9610,1062,2050,1227,4,4343,4343,
9,Houston,MCMS,9181,1332,3050,1163,8,5553,5553,
10,Houston,NSES,2441,459,591,345,1,1396,1396,
11,Houston,RECR,9277,845,1129,832,8,2814,2814,
12,Houston,ROZR,13802,1872,4411,1697,7,7987,7987,
13,Houston,TMS,5286,717,1124,658,5,2504,2504,
14,Houston,TWPK,4415,762,1183,594,2,2541,2541,
15,Houston,VHS,6295,1114,2138,666,3,3921,3921,
