index,County,Precinct,Registered Voters,Gail C. Robinson (I) (Rep)_Election Day Votes,Gail C. Robinson (I) (Rep)_Advanced Voting Votes,Gail C. Robinson (I) (Rep)_Absentee by Mail Votes,Gail C. Robinson (I) (Rep)_Provisional Votes,Gail C. Robinson (I) (Rep)_Choice Total,Total,
0,Houston,ANNX,4512,579,1436,789,4,2808,2808,
1,Houston,BMS,9536,1560,3121,1439,2,6122,6122,
2,Houston,CENT,7795,1187,2012,1048,1,4248,4248,
3,Houston,CGTC,4860,632,1633,603,4,2872,2872,
4,Houston,FMMS,8767,1384,2552,995,2,4933,4933,
5,Houston,HAFS,1805,662,372,142,1,1177,1177,
6,Houston,HCTC,6361,794,1398,757,3,2952,2952,
7,Houston,HEFS,1372,395,297,136,7,835,835,
8,Houston,HHPC,9610,1060,2054,1222,5,4341,4341,
9,Houston,MCMS,9181,1324,3053,1171,8,5556,5556,
10,Houston,NSES,2441,460,591,345,1,1397,1397,
11,Houston,RECR,9277,854,1131,822,7,2814,2814,
12,Houston,ROZR,13802,1871,4408,1695,8,7982,7982,
13,Houston,TMS,5286,712,1128,653,5,2498,2498,
14,Houston,TWPK,4415,768,1185,593,2,2548,2548,
15,Houston,VHS,6295,1123,2144,670,3,3940,3940,
