index,County,Precinct,Registered Voters,Mark Kevin Kushinka (I) (Rep)_Election Day Votes,Mark Kevin Kushinka (I) (Rep)_Advanced Voting Votes,Mark Kevin Kushinka (I) (Rep)_Absentee by Mail Votes,Mark Kevin Kushinka (I) (Rep)_Provisional Votes,Mark Kevin Kushinka (I) (Rep)_Choice Total,Total,
0,Houston,ANNX,4512,587,1446,801,4,2838,2838,
1,Houston,BMS,9536,1563,3135,1505,2,6205,6205,
2,Houston,CENT,7795,1186,2022,1071,1,4280,4280,
3,Houston,CGTC,4860,634,1636,611,4,2885,2885,
4,Houston,FMMS,8767,1382,2575,1019,2,4978,4978,
5,Houston,HAFS,1805,667,372,153,1,1193,1193,
6,Houston,HCTC,6361,798,1405,785,3,2991,2991,
7,Houston,HEFS,1372,410,299,144,8,861,861,
8,Houston,HHPC,9610,1073,2076,1252,4,4405,4405,
9,Houston,MCMS,9181,1335,3070,1188,8,5601,5601,
10,Houston,NSES,2441,465,604,361,1,1431,1431,
11,Houston,RECR,9277,858,1149,842,8,2857,2857,
12,Houston,ROZR,13802,1883,4458,1738,7,8086,8086,
13,Houston,TMS,5286,713,1129,667,6,2515,2515,
14,Houston,TWPK,4415,773,1204,612,2,2591,2591,
15,Houston,VHS,6295,1124,2161,677,4,3966,3966,
