index,County,Precinct,Registered Voters,Stevie Thomas (I) (Rep)_Election Day Votes,Stevie Thomas (I) (Rep)_Advanced Voting Votes,Stevie Thomas (I) (Rep)_Absentee by Mail Votes,Stevie Thomas (I) (Rep)_Provisional Votes,Stevie Thomas (I) (Rep)_Choice Total,Total,
0,Franklin,Carnesville,2382,262,1062,237,0,1561,1561,
1,Franklin,West Franklin,1764,321,569,182,0,1072,1072,
2,Franklin,Northeast Franklin,2935,452,1027,356,1,1836,1836,
3,Franklin,Lavonia,2355,356,793,256,0,1405,1405,
4,Franklin,Canon,1244,303,408,122,0,833,833,
5,Franklin,Royston,2034,320,665,271,0,1256,1256,
6,Franklin,Southwest Franklin,2432,396,934,227,0,1557,1557,
