index,County,Precinct,Registered Voters,Robert Franklin (I) (Rep)_Election Day Votes,Robert Franklin (I) (Rep)_Advanced Voting Votes,Robert Franklin (I) (Rep)_Absentee by Mail Votes,Robert Franklin (I) (Rep)_Provisional Votes,Robert Franklin (I) (Rep)_Choice Total,Total,
0,Franklin,Carnesville,2382,262,1126,253,0,1641,1641,
1,Franklin,West Franklin,1764,335,595,183,0,1113,1113,
2,Franklin,Northeast Franklin,2935,471,1056,349,2,1878,1878,
3,Franklin,Lavonia,2355,361,798,252,0,1411,1411,
4,Franklin,Canon,1244,300,414,123,0,837,837,
5,Franklin,Royston,2034,325,678,265,0,1268,1268,
6,Franklin,Southwest Franklin,2432,409,967,232,0,1608,1608,
