index,County,Precinct,Registered Voters,Jason K. Macomson (Rep)_Election Day Votes,Jason K. Macomson (Rep)_Advanced Voting Votes,Jason K. Macomson (Rep)_Absentee by Mail Votes,Jason K. Macomson (Rep)_Provisional Votes,Jason K. Macomson (Rep)_Choice Total,Total,
0,Franklin,Carnesville,2382,266,1124,254,0,1644,1644,
1,Franklin,West Franklin,1764,339,594,185,0,1118,1118,
2,Franklin,Northeast Franklin,2935,478,1064,369,2,1913,1913,
3,Franklin,Lavonia,2355,360,818,259,0,1437,1437,
4,Franklin,Canon,1244,305,416,124,0,845,845,
5,Franklin,Royston,2034,323,681,270,0,1274,1274,
6,Franklin,Southwest Franklin,2432,416,971,236,0,1623,1623,
