index,County,Precinct,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
0,Franklin,Carnesville,2382,269,1107,236,0,1612,1612,
1,Franklin,West Franklin,1764,330,593,184,0,1107,1107,
2,Franklin,Northeast Franklin,2935,471,1058,359,1,1889,1889,
3,Franklin,Lavonia,2355,351,797,253,0,1401,1401,
4,Franklin,Canon,1244,302,413,122,0,837,837,
5,Franklin,Royston,2034,314,687,259,0,1260,1260,
6,Franklin,Southwest Franklin,2432,412,972,233,0,1617,1617,
